junction	type	ERR2598052	ERR2598053	ERR2598054	ERR2598055	ERR2598167	ERR2598168	ERR2598182	ERR2598183	ERR2598194	ERR2598234	ERR2598253	ERR2598255	ERR2598270	ERR2598338	ERR2598339	ERR2598351	ERR2598254	ERR2598307	geneID	geneName
chr5:157326268-157327972	N_w	9	14	26	17	31	27	18	10	16	14	9	5	5	3	0	1	8	0	ENSG00000055163.19	CYFIP2
chr5:157328050-157330741	N_w	32	38	64	38	82	36	29	36	66	34	17	24	0	7	3	9	50	0	ENSG00000055163.19	CYFIP2
chr5:157330851-157333326	N_w	32	56	53	42	85	53	41	47	64	26	21	18	4	9	3	8	42	2	ENSG00000055163.19	CYFIP2
chr5:157333447-157339056	N_w	27	35	23	8	51	65	31	30	27	28	11	16	4	3	1	6	42	3	ENSG00000055163.19	CYFIP2
chr5:157339257-157341069	N_w	33	73	74	21	100	76	40	44	118	45	22	21	4	4	3	22	53	0	ENSG00000055163.19	CYFIP2
chr5:157341158-157359004	N_w	67	122	120	62	136	102	64	54	138	93	44	45	8	10	9	28	123	1	ENSG00000055163.19	CYFIP2
chr5:157354480-157359004	N_w	3	0	3	0	0	0	0	0	3	2	0	0	1	0	0	2	2	1	ENSG00000055163.19	CYFIP2
chr5:157359149-157360281	N_w	57	74	39	36	105	71	42	57	49	60	34	20	5	14	9	19	88	4	ENSG00000055163.19	CYFIP2
chr5:157360373-157360554	N_w	1	4	0	0	3	2	0	0	0	4	1	0	0	0	0	0	2	0	ENSG00000055163.19	CYFIP2
chr5:157360373-157361467	N_w	66	120	97	54	110	84	65	59	107	80	61	42	1	21	5	27	107	2	ENSG00000055163.19	CYFIP2
chr5:157360623-157361467	N_w	3	9	0	3	4	1	1	0	2	6	3	0	0	0	0	0	1	0	ENSG00000055163.19	CYFIP2
chr5:157361599-157382589	N_w	62	98	76	18	74	51	35	49	78	67	42	33	7	10	3	15	102	2	ENSG00000055163.19	CYFIP2
chr5:157382663-157383264	N_w	51	57	22	9	79	46	31	36	25	72	31	20	6	7	8	13	84	1	ENSG00000055163.19	CYFIP2
chr5:157383360-157389188	N_w	55	70	19	3	79	41	21	17	16	82	39	31	12	5	11	11	85	9	ENSG00000055163.19	CYFIP2
chr5:157389428-157390520	N_w	55	82	27	0	44	36	16	17	27	61	38	16	9	3	9	10	60	6	ENSG00000055163.19	CYFIP2
chr5:157390669-157392832	N_w	82	125	39	19	80	39	25	38	47	111	84	36	18	3	4	12	109	18	ENSG00000055163.19	CYFIP2
chr2:182925819-182926815	N_w	88	79	19	115	40	41	62	37	27	50	81	78	26	5	23	10	102	19	ENSG00000061676.14	NCKAP1
chr2:182926906-182928116	N_w	162	197	158	385	136	127	204	162	164	143	169	209	88	51	70	52	280	48	ENSG00000061676.14	NCKAP1
chr2:182928227-182928782	N_w	113	125	188	190	79	97	150	109	134	84	108	98	77	28	30	42	131	30	ENSG00000061676.14	NCKAP1
chr2:182928900-182930694	N_w	119	141	113	289	104	109	171	128	98	105	110	142	69	38	57	56	194	49	ENSG00000061676.14	NCKAP1
chr2:182930789-182934751	N_w	52	97	52	195	65	72	125	88	60	83	79	77	30	24	46	33	117	25	ENSG00000061676.14	NCKAP1
chr2:182934833-182935292	N_w	70	94	36	244	53	85	95	90	51	77	86	76	43	17	53	16	135	23	ENSG00000061676.14	NCKAP1
chr2:182935376-182942069	N_w	110	141	164	422	108	151	227	153	162	80	79	134	80	39	58	47	199	45	ENSG00000061676.14	NCKAP1
chr2:182942164-182952404	N_w	70	74	79	279	45	48	144	52	161	53	45	88	35	29	37	23	112	19	ENSG00000061676.14	NCKAP1
chr2:182952503-182952792	N_w	91	76	27	291	79	87	184	110	98	48	53	101	25	23	43	22	114	23	ENSG00000061676.14	NCKAP1
chr2:182952924-182953112	N_w	63	85	53	297	77	101	157	120	92	58	59	81	18	21	41	18	115	30	ENSG00000061676.14	NCKAP1
chr2:182953332-182956461	N_w	51	55	163	243	68	91	128	120	190	34	38	66	20	42	33	47	64	35	ENSG00000061676.14	NCKAP1
chr2:182956594-182957456	N_w	38	48	137	158	57	69	120	105	111	20	24	47	37	38	26	26	60	18	ENSG00000061676.14	NCKAP1
chr2:182957597-182962158	N_w	28	43	65	162	55	91	134	66	65	27	18	47	30	20	22	20	66	19	ENSG00000061676.14	NCKAP1
chr2:182962279-182964675	N_w	38	40	63	191	56	86	126	86	105	18	15	37	26	27	41	14	51	19	ENSG00000061676.14	NCKAP1
chr2:182964809-182967215	N_w	30	36	38	230	62	86	138	82	66	13	21	49	23	20	20	10	58	20	ENSG00000061676.14	NCKAP1
chr2:182967362-182976892	N_w	23	22	45	183	61	86	111	54	83	10	17	18	8	5	15	10	34	11	ENSG00000061676.14	NCKAP1
chr2:182976952-182978833	N_w	17	23	33	147	49	76	138	52	57	6	14	20	13	7	24	4	38	14	ENSG00000061676.14	NCKAP1
chr2:182978916-182981243	N_w	20	23	68	154	55	87	120	79	65	7	17	17	48	23	24	9	34	16	ENSG00000061676.14	NCKAP1
chr2:182981377-182982820	N_w	19	36	116	247	73	88	171	98	159	9	23	37	15	30	10	18	34	20	ENSG00000061676.14	NCKAP1
chr2:182982928-182983285	N_w	15	13	44	100	47	72	106	42	40	7	10	22	21	18	35	12	15	12	ENSG00000061676.14	NCKAP1
chr2:182983383-182986170	N_w	8	15	44	97	43	57	92	47	51	1	10	13	20	9	13	3	16	5	ENSG00000061676.14	NCKAP1
chr2:182986228-182989029	N_w	10	22	62	146	48	86	117	70	68	1	10	17	19	17	22	7	18	10	ENSG00000061676.14	NCKAP1
chr2:182989187-182994838	N_w	14	22	86	137	56	95	112	89	96	5	6	17	22	32	12	12	19	13	ENSG00000061676.14	NCKAP1
chr2:182994888-182995700	N_w	16	16	67	150	70	94	139	70	83	10	11	18	14	19	9	14	29	12	ENSG00000061676.14	NCKAP1
chr2:182995839-183001952	N_w	13	11	69	108	45	64	97	51	62	6	10	15	15	18	14	6	8	12	ENSG00000061676.14	NCKAP1
chr2:183002044-183002126	N_w	13	11	61	68	18	48	82	21	54	6	3	25	19	23	13	6	25	10	ENSG00000061676.14	NCKAP1
chr2:183002270-183002973	N_w	7	7	17	92	21	39	80	39	22	5	4	7	0	4	2	2	12	3	ENSG00000061676.14	NCKAP1
chr2:183003031-183003232	N_w	8	10	13	63	34	50	44	30	15	5	6	9	3	6	11	0	13	4	ENSG00000061676.14	NCKAP1
chr2:183003320-183023805	N_w	1	0	7	22	0	2	5	4	7	0	0	1	5	9	2	2	3	2	ENSG00000061676.14	NCKAP1
chr2:183003326-183023805	N_w	6	7	34	56	55	54	84	37	40	2	1	10	1	8	11	5	16	4	ENSG00000061676.14	NCKAP1
chr2:183023917-183037991	N_w	3	9	38	3	29	20	41	13	31	3	3	4	4	17	16	5	5	5	ENSG00000061676.14	NCKAP1
chr17:49210842-49216530	N_w	1	5	3	0	5	3	17	5	2	7	3	9	0	1	6	4	6	9	ENSG00000108798.8	ABI3
chr17:49216699-49217738	N_w	3	3	2	0	6	3	14	1	0	2	4	4	5	3	1	4	5	12	ENSG00000108798.8	ABI3
chr17:49217916-49219539	N_w	6	5	3	0	5	5	11	3	7	4	4	5	2	4	9	8	7	17	ENSG00000108798.8	ABI3
chr17:49219626-49219857	N_w	8	9	5	0	12	5	17	5	6	6	6	5	2	2	2	9	10	21	ENSG00000108798.8	ABI3
chr17:49219954-49220168	N_w	5	4	4	0	6	3	5	1	4	9	5	6	0	0	10	9	10	16	ENSG00000108798.8	ABI3
chr17:49220327-49222090	N_w	4	7	9	0	9	2	8	0	2	3	3	5	1	4	8	11	10	14	ENSG00000108798.8	ABI3
chr17:49222226-49222551	N_w	4	6	6	0	6	3	7	5	2	5	1	7	2	1	13	5	10	17	ENSG00000108798.8	ABI3
chr12:110435218-110436109	N_w	187	178	153	195	123	87	348	141	132	181	310	250	106	55	100	124	353	137	ENSG00000111229.15	ARPC3
chr12:110436202-110436556	N_w	0	3	3	3	2	0	6	0	1	1	5	3	2	1	0	2	14	4	ENSG00000111229.15	ARPC3
chr12:110436205-110436556	N_w	187	255	241	377	177	114	502	183	221	193	354	355	174	62	115	102	463	159	ENSG00000111229.15	ARPC3
chr12:110436205-110436664	N_w	2	2	1	1	1	1	3	0	1	0	1	1	1	0	0	0	7	2	ENSG00000111229.15	ARPC3
chr12:110436205-110437083	N_w	1	10	0	2	1	0	2	1	3	1	0	22	0	0	0	0	1	1	ENSG00000111229.15	ARPC3
chr12:110436684-110437083	N_w	262	276	123	386	192	144	545	228	183	175	328	459	109	46	98	58	554	166	ENSG00000111229.15	ARPC3
chr12:110437153-110440311	N_w	124	120	64	153	94	65	255	87	86	75	165	181	49	28	46	24	238	60	ENSG00000111229.15	ARPC3
chr12:110437153-110445451	N_w	0	1	1	1	1	0	0	1	1	0	0	3	1	0	0	1	2	1	ENSG00000111229.15	ARPC3
chr12:110440389-110445451	N_w	227	177	259	147	172	112	425	143	145	127	275	368	168	76	123	69	372	106	ENSG00000111229.15	ARPC3
chr12:110445552-110450254	N_w	45	62	143	29	67	40	124	42	121	25	55	62	79	60	62	78	51	56	ENSG00000111229.15	ARPC3
chr6:110100680-110101587	N_w	10	9	7	14	64	46	126	44	20	10	27	18	2	3	0	0	14	4	ENSG00000112290.12	WASF1
chr6:110102217-110103377	N_w	2	3	9	10	43	32	55	32	29	3	8	4	0	0	0	1	8	2	ENSG00000112290.12	WASF1
chr6:110103558-110105406	N_w	2	3	3	3	23	23	56	21	14	4	13	11	0	4	0	0	8	2	ENSG00000112290.12	WASF1
chr6:110105577-110107076	N_w	0	0	1	3	3	1	5	2	3	1	2	1	0	1	0	0	0	0	ENSG00000112290.12	WASF1
chr6:110105580-110107076	N_w	8	3	11	6	32	35	77	30	27	4	5	7	5	0	0	0	12	2	ENSG00000112290.12	WASF1
chr6:110107195-110108527	N_w	2	3	0	5	21	23	50	16	10	5	8	3	0	0	1	1	5	1	ENSG00000112290.12	WASF1
chr6:110108682-110113325	N_w	3	5	2	18	35	45	82	31	24	1	8	10	1	0	0	0	9	1	ENSG00000112290.12	WASF1
chr6:110113461-110127468	N_w	4	2	7	9	36	36	71	31	15	4	7	9	0	0	0	0	6	1	ENSG00000112290.12	WASF1
chr6:110127630-110160634	N_w	0	0	1	2	3	3	4	2	2	0	0	3	0	0	0	0	0	1	ENSG00000112290.12	WASF1
chr6:110127630-110179438	N_w	0	0	3	0	9	6	13	0	7	0	0	0	0	0	0	0	2	0	ENSG00000112290.12	WASF1
chr6:110178743-110179438	N_w	0	0	1	0	2	1	2	0	3	0	0	1	0	0	0	0	0	0	ENSG00000112290.12	WASF1
chr2:113890324-113913171	N_w	10	9	31	10	68	53	82	24	63	8	8	26	9	10	16	15	21	7	ENSG00000115091.11	ACTR3
chr2:113913228-113916883	N_w	18	19	38	53	93	49	118	47	69	11	16	32	15	13	15	13	31	15	ENSG00000115091.11	ACTR3
chr2:113917009-113927344	N_w	28	23	111	124	112	90	151	95	154	20	28	48	24	11	18	25	56	19	ENSG00000115091.11	ACTR3
chr2:113927456-113931300	N_w	43	28	98	217	119	93	221	163	167	22	26	72	22	30	40	29	91	34	ENSG00000115091.11	ACTR3
chr2:113931397-113934278	N_w	38	35	112	148	114	109	224	139	145	30	41	77	33	22	30	20	93	30	ENSG00000115091.11	ACTR3
chr2:113934387-113939958	N_w	45	30	22	82	97	70	153	85	37	32	26	57	26	19	12	14	64	19	ENSG00000115091.11	ACTR3
chr2:113940103-113942185	N_w	45	49	129	221	140	99	195	162	182	41	60	95	45	20	26	27	97	34	ENSG00000115091.11	ACTR3
chr2:113942360-113951478	N_w	56	49	30	202	101	92	190	161	48	39	82	104	14	2	2	1	121	26	ENSG00000115091.11	ACTR3
chr2:113951572-113951719	N_w	56	36	106	138	93	68	161	75	142	44	78	77	16	15	13	33	92	28	ENSG00000115091.11	ACTR3
chr2:113951846-113955622	N_w	78	69	74	178	129	90	207	98	62	50	99	106	58	21	25	30	130	37	ENSG00000115091.11	ACTR3
chr2:113955707-113957359	N_w	100	96	199	289	205	153	306	240	264	80	167	161	93	44	80	51	226	75	ENSG00000115091.11	ACTR3
chr12:54497892-54499354	N_w	1	1	1	3	2	0	2	3	5	0	0	2	0	0	0	0	1	0	ENSG00000123338.12	NCKAP1L
chr12:54499466-54500532	N_w	0	0	0	2	1	1	13	1	4	0	0	0	0	0	0	1	3	0	ENSG00000123338.12	NCKAP1L
chr12:54500626-54507852	N_w	0	0	0	2	3	0	8	1	3	0	0	0	0	0	0	0	0	3	ENSG00000123338.12	NCKAP1L
chr12:54507910-54508388	N_w	0	0	0	4	2	1	9	1	3	1	0	0	0	3	0	0	0	2	ENSG00000123338.12	NCKAP1L
chr12:54508532-54509668	N_w	0	0	0	0	3	0	11	2	2	0	0	0	0	1	0	0	0	1	ENSG00000123338.12	NCKAP1L
chr12:54509760-54509847	N_w	0	1	0	0	5	0	8	2	0	0	1	0	0	0	0	0	0	1	ENSG00000123338.12	NCKAP1L
chr12:54509986-54511802	N_w	0	0	1	0	3	1	7	3	2	0	0	0	0	0	0	0	0	0	ENSG00000123338.12	NCKAP1L
chr12:54511852-54511948	N_w	0	1	1	0	2	0	10	0	5	0	0	1	0	0	0	0	0	0	ENSG00000123338.12	NCKAP1L
chr12:54512106-54516238	N_w	0	0	0	0	2	0	13	5	6	0	0	0	0	0	0	0	1	1	ENSG00000123338.12	NCKAP1L
chr12:54516296-54516895	N_w	0	0	0	0	4	0	6	1	3	0	0	1	0	1	0	0	0	0	ENSG00000123338.12	NCKAP1L
chr12:54516993-54517532	N_w	0	0	0	0	1	0	5	2	1	0	0	0	0	2	0	0	0	0	ENSG00000123338.12	NCKAP1L
chr12:54517643-54517805	N_w	0	0	0	0	0	0	13	2	7	1	0	4	0	2	0	0	0	0	ENSG00000123338.12	NCKAP1L
chr12:54517939-54518650	N_w	1	0	0	1	1	0	12	6	1	0	0	1	0	0	0	0	1	4	ENSG00000123338.12	NCKAP1L
chr12:54518733-54518913	N_w	0	0	0	2	2	0	14	1	4	0	1	0	0	0	0	0	0	0	ENSG00000123338.12	NCKAP1L
chr12:54518973-54519186	N_w	0	0	0	2	0	2	10	5	2	1	0	0	0	0	0	0	0	1	ENSG00000123338.12	NCKAP1L
chr12:54519333-54520693	N_w	0	0	0	0	1	0	12	1	3	0	2	1	0	3	0	1	0	1	ENSG00000123338.12	NCKAP1L
chr12:54520827-54521118	N_w	0	0	2	3	1	0	5	5	4	0	0	1	4	0	3	1	1	6	ENSG00000123338.12	NCKAP1L
chr12:54521239-54523393	N_w	2	0	0	0	3	0	13	3	4	0	3	3	0	0	3	0	2	1	ENSG00000123338.12	NCKAP1L
chr12:54523540-54523824	N_w	0	1	2	2	0	1	14	6	3	1	1	3	0	0	0	0	0	0	ENSG00000123338.12	NCKAP1L
chr12:54523957-54526527	N_w	0	1	0	0	2	0	9	4	0	1	0	0	2	1	0	0	1	0	ENSG00000123338.12	NCKAP1L
chr12:54526747-54528246	N_w	1	2	1	1	1	1	9	3	1	0	0	4	0	0	2	2	0	3	ENSG00000123338.12	NCKAP1L
chr12:54528378-54531259	N_w	0	1	1	0	0	0	9	3	5	1	4	3	0	0	0	1	4	0	ENSG00000123338.12	NCKAP1L
chr12:54531358-54531490	N_w	2	1	1	1	2	0	14	7	5	1	2	6	2	0	0	3	2	1	ENSG00000123338.12	NCKAP1L
chr12:54531585-54531742	N_w	1	0	0	0	1	0	18	8	4	0	1	3	2	0	0	0	1	2	ENSG00000123338.12	NCKAP1L
chr12:54531826-54532169	N_w	1	0	1	0	3	1	8	5	2	0	2	1	0	0	0	0	1	0	ENSG00000123338.12	NCKAP1L
chr12:54532251-54535103	N_w	1	0	1	1	2	0	8	5	2	3	0	3	0	0	0	1	0	1	ENSG00000123338.12	NCKAP1L
chr12:54535198-54536128	N_w	0	0	0	1	3	0	14	4	7	2	0	3	1	0	0	1	1	2	ENSG00000123338.12	NCKAP1L
chr12:54536246-54536943	N_w	1	2	1	0	0	0	13	4	6	2	1	4	0	2	0	2	0	7	ENSG00000123338.12	NCKAP1L
chr12:54537054-54538883	N_w	3	0	0	1	2	2	8	4	0	0	0	4	0	0	0	1	1	0	ENSG00000123338.12	NCKAP1L
chr12:54538974-54542574	N_w	2	0	0	0	2	1	13	5	1	0	1	4	1	0	2	3	5	5	ENSG00000123338.12	NCKAP1L
chr7:99374782-99385701	N_w	5	3	15	0	7	2	21	1	13	3	6	5	5	6	7	9	4	10	ENSG00000130429.12	ARPC1B
chr7:99377440-99385701	N_w	0	0	3	0	1	0	2	2	2	0	0	0	0	0	0	1	0	1	ENSG00000130429.12	ARPC1B
chr7:99377456-99385701	N_w	0	0	0	0	3	0	6	2	3	0	1	1	4	0	0	1	4	2	ENSG00000130429.12	ARPC1B
chr7:99385779-99386684	N_w	13	19	33	2	34	17	71	27	29	9	20	36	25	12	24	38	48	64	ENSG00000130429.12	ARPC1B
chr7:99386790-99388038	N_w	17	13	41	2	30	31	86	43	55	12	17	45	28	15	20	15	45	45	ENSG00000130429.12	ARPC1B
chr7:99388262-99389904	N_w	17	15	38	6	45	26	87	41	53	17	35	66	27	19	35	31	36	69	ENSG00000130429.12	ARPC1B
chr7:99390013-99390892	N_w	27	7	15	2	29	23	81	31	21	21	26	39	11	13	30	11	32	55	ENSG00000130429.12	ARPC1B
chr7:99391100-99391177	N_w	37	27	50	0	45	38	96	47	41	57	54	99	44	14	30	48	113	101	ENSG00000130429.12	ARPC1B
chr7:99391254-99392670	N_w	43	15	22	1	45	23	88	18	30	45	38	89	16	13	15	16	86	88	ENSG00000130429.12	ARPC1B
chr7:99392877-99394028	N_w	30	23	31	0	35	12	95	8	50	24	60	74	26	12	19	31	71	107	ENSG00000130429.12	ARPC1B
chr7:99394120-99394450	N_w	28	24	19	3	35	27	84	21	23	34	53	64	30	7	14	33	58	66	ENSG00000130429.12	ARPC1B
chr13:26557820-26612960	N_w	0	0	6	0	2	5	3	0	6	0	0	0	0	0	2	0	0	0	ENSG00000132970.12	WASF3
chr13:26613059-26642260	N_w	2	2	7	3	18	12	14	7	14	0	2	0	0	0	0	0	4	1	ENSG00000132970.12	WASF3
chr13:26642404-26665027	N_w	6	6	7	5	37	47	60	24	21	0	7	2	3	2	0	1	5	1	ENSG00000132970.12	WASF3
chr13:26665163-26667516	N_w	3	3	1	13	28	52	36	25	24	1	3	2	0	3	5	0	6	3	ENSG00000132970.12	WASF3
chr13:26667671-26671871	N_w	3	4	4	16	30	22	30	19	22	0	1	2	5	0	0	1	5	1	ENSG00000132970.12	WASF3
chr13:26671990-26676548	N_w	3	6	12	13	38	34	43	22	29	3	9	0	0	0	0	0	4	0	ENSG00000132970.12	WASF3
chr13:26671990-26680034	N_w	2	2	10	8	7	5	11	9	18	1	1	4	0	0	4	3	3	3	ENSG00000132970.12	WASF3
chr13:26676725-26680034	N_w	2	1	0	3	0	0	0	2	3	0	0	0	0	0	0	0	2	0	ENSG00000132970.12	WASF3
chr13:26676725-26681053	N_w	2	2	7	1	26	30	33	17	28	2	0	0	0	0	0	1	2	0	ENSG00000132970.12	WASF3
chr13:26680202-26681053	N_w	11	4	8	2	6	10	9	16	17	3	8	3	2	1	2	2	4	5	ENSG00000132970.12	WASF3
chr13:26681321-26682606	N_w	13	3	8	0	26	37	21	4	28	8	15	5	0	3	8	6	4	3	ENSG00000132970.12	WASF3
chr13:26682975-26685687	N_w	2	7	5	2	25	16	16	19	17	3	3	3	3	3	0	5	8	5	ENSG00000132970.12	WASF3
chr7:152759927-152783186	N_w	1	0	2	0	1	1	4	0	3	0	1	0	3	0	0	2	0	0	ENSG00000133627.17	ACTR3B
chr7:152759927-152800530	N_w	1	1	4	0	1	0	3	0	1	2	1	0	0	0	0	0	0	0	ENSG00000133627.17	ACTR3B
chr7:152783243-152800530	N_w	3	0	5	1	2	3	10	0	0	0	2	4	3	0	1	0	0	0	ENSG00000133627.17	ACTR3B
chr7:152800656-152801620	N_w	4	4	6	4	9	7	25	10	7	5	5	7	3	5	4	5	9	4	ENSG00000133627.17	ACTR3B
chr7:152801732-152811696	N_w	2	2	0	3	3	2	4	1	5	5	2	7	5	2	0	1	4	3	ENSG00000133627.17	ACTR3B
chr7:152801732-152814549	N_w	2	2	12	5	11	5	34	4	7	4	1	3	0	0	1	2	7	1	ENSG00000133627.17	ACTR3B
chr7:152811734-152814549	N_w	1	0	2	5	3	5	5	1	6	3	4	7	5	2	0	1	7	2	ENSG00000133627.17	ACTR3B
chr7:152814646-152816480	N_w	6	3	16	7	10	2	22	15	12	2	5	8	3	4	6	5	15	5	ENSG00000133627.17	ACTR3B
chr7:152816589-152820298	N_w	13	5	4	4	12	13	29	7	7	3	5	4	9	2	4	2	8	2	ENSG00000133627.17	ACTR3B
chr7:152820348-152823341	N_w	0	0	0	0	2	2	5	0	1	0	0	1	0	6	0	1	1	2	ENSG00000133627.17	ACTR3B
chr7:152820443-152823341	N_w	5	5	16	6	8	12	27	9	16	6	6	5	4	3	7	6	18	5	ENSG00000133627.17	ACTR3B
chr7:152823516-152825029	N_w	11	11	15	7	12	14	44	12	16	8	5	10	2	6	3	5	14	6	ENSG00000133627.17	ACTR3B
chr7:152825123-152842483	N_w	0	1	2	1	1	0	4	1	1	0	0	0	0	0	0	0	0	1	ENSG00000133627.17	ACTR3B
chr7:152825123-152852125	N_w	8	6	11	5	5	11	34	9	9	7	17	11	7	0	0	14	23	6	ENSG00000133627.17	ACTR3B
chr7:152852252-152853493	N_w	12	6	1	0	11	10	18	5	2	11	6	5	5	0	6	2	6	3	ENSG00000133627.17	ACTR3B
chr7:152853578-152854457	N_w	16	7	5	1	10	13	28	8	3	12	17	7	10	2	5	2	13	3	ENSG00000133627.17	ACTR3B
chr6:138424817-138425566	N_w	5	8	0	2	1	0	0	1	3	2	2	0	0	2	0	0	0	0	ENSG00000135540.11	NHSL1
chr6:138424817-138429710	N_w	26	17	45	4	21	12	20	16	24	14	37	12	0	5	5	11	28	4	ENSG00000135540.11	NHSL1
chr6:138424817-138447000	N_w	0	1	2	2	3	0	1	0	3	0	0	0	0	0	0	0	3	0	ENSG00000135540.11	NHSL1
chr6:138429844-138430392	N_w	22	21	8	0	6	14	13	11	7	8	16	7	0	2	0	3	11	0	ENSG00000135540.11	NHSL1
chr6:138433681-138441982	N_w	1	1	3	0	1	8	15	7	5	0	0	0	0	0	0	0	2	0	ENSG00000135540.11	NHSL1
chr6:138433681-138447000	N_w	5	8	18	6	16	17	5	12	21	3	5	4	0	0	0	0	5	0	ENSG00000135540.11	NHSL1
chr6:138442115-138447000	N_w	2	0	10	0	4	7	9	4	4	0	0	0	0	0	0	0	1	0	ENSG00000135540.11	NHSL1
chr6:138447194-138473305	N_w	13	16	20	19	15	11	27	11	21	4	3	6	3	0	2	4	10	0	ENSG00000135540.11	NHSL1
chr6:138473434-138496218	N_w	9	13	39	8	36	30	34	18	34	9	3	5	5	2	8	0	10	0	ENSG00000135540.11	NHSL1
chr6:138496372-138545622	N_w	5	4	10	3	11	5	5	6	7	1	3	2	0	0	3	2	3	2	ENSG00000135540.11	NHSL1
chr6:138572062-138572385	N_w	0	0	2	0	2	1	0	2	0	2	0	0	0	0	0	0	0	1	ENSG00000135540.11	NHSL1
chr6:138572062-138572441	N_w	0	0	4	0	3	0	1	0	1	0	1	1	0	0	0	0	1	0	ENSG00000135540.11	NHSL1
chr10:26748746-26751597	N_w	29	43	50	71	44	35	57	40	45	22	35	42	15	12	2	9	45	13	ENSG00000136754.16	ABI1
chr10:26751784-26755654	N_w	18	24	66	18	55	38	75	51	76	19	25	22	24	23	23	11	44	13	ENSG00000136754.16	ABI1
chr10:26751784-26759061	N_w	2	5	6	8	15	2	12	11	19	6	3	2	4	0	1	1	6	6	ENSG00000136754.16	ABI1
chr10:26751784-26765217	N_w	0	0	0	0	2	1	2	1	5	0	0	0	0	0	0	0	1	1	ENSG00000136754.16	ABI1
chr10:26755742-26759061	N_w	10	17	28	38	39	37	49	31	46	15	12	24	12	13	6	11	21	9	ENSG00000136754.16	ABI1
chr10:26759236-26763879	N_w	2	2	4	1	0	1	0	0	3	1	2	1	2	1	3	3	3	0	ENSG00000136754.16	ABI1
chr10:26759236-26765217	N_w	2	6	4	6	13	16	25	17	11	3	3	7	3	3	6	1	6	3	ENSG00000136754.16	ABI1
chr10:26759239-26763879	N_w	0	0	7	1	3	8	1	2	3	0	1	1	2	1	5	3	10	1	ENSG00000136754.16	ABI1
chr10:26759239-26765217	N_w	18	9	23	10	34	28	55	41	32	13	4	6	2	10	15	6	11	10	ENSG00000136754.16	ABI1
chr10:26763961-26765217	N_w	1	8	13	2	2	3	2	1	4	4	3	0	7	3	5	7	7	0	ENSG00000136754.16	ABI1
