junction	type	ERR2598061	ERR2598062	ERR2598063	ERR2598064	ERR2598083	ERR2598084	ERR2598085	ERR2598097	ERR2598115	ERR2598131	ERR2598132	ERR2598143	ERR2598144	ERR2598159	ERR2598160	ERR2598161	ERR2598162	ERR2598173	ERR2598174	ERR2598175	ERR2598176	ERR2598188	ERR2598189	ERR2598201	ERR2598202	ERR2598217	ERR2598218	ERR2598219	ERR2598220	ERR2598241	ERR2598242	ERR2598243	ERR2598244	ERR2598261	ERR2598275	ERR2598284	ERR2598285	ERR2598334	ERR2598344	ERR2598357	ERR2598358	ERR2598359	ERR2598142	ERR2598260	ERR2598262	ERR2598310	geneID	geneName
chr2:182942164-182952404	N_w	2	1	18	25	6	0	46	85	21	28	17	8	12	23	7	11	31	79	73	38	21	18	51	3	100	13	24	30	33	8	7	5	10	0	5	10	4	19	22	19	18	15	16	5	4	36	ENSG00000061676.14	NCKAP1
chr2:182952503-182952792	N_w	0	1	15	24	2	2	14	33	10	38	21	19	5	45	16	11	44	106	67	16	16	20	55	7	46	14	31	44	48	0	4	2	7	0	3	5	14	22	25	23	31	18	10	1	0	23	ENSG00000061676.14	NCKAP1
chr2:182952924-182953112	N_w	4	5	14	19	0	1	23	42	16	34	26	26	10	41	20	24	51	116	59	19	17	23	73	5	51	10	36	52	49	4	2	0	5	0	2	6	8	11	23	27	24	19	23	7	1	25	ENSG00000061676.14	NCKAP1
chr2:182953332-182956461	N_w	8	5	7	23	0	0	75	59	14	30	17	27	25	45	16	15	35	104	71	55	50	4	58	4	65	6	28	43	28	2	1	1	4	0	4	8	10	23	20	28	39	20	13	5	3	33	ENSG00000061676.14	NCKAP1
chr2:182956594-182957456	N_w	0	0	7	20	0	0	36	36	17	26	15	23	25	38	9	18	35	111	49	35	38	9	41	3	44	2	24	43	32	0	3	1	0	0	0	2	7	19	8	6	11	6	6	3	0	33	ENSG00000061676.14	NCKAP1
chr2:182957597-182962158	N_w	1	0	12	6	0	0	17	27	15	30	22	17	12	36	9	8	41	125	56	25	14	13	32	0	51	2	35	44	42	0	4	1	2	0	1	5	6	9	11	8	12	7	7	3	1	19	ENSG00000061676.14	NCKAP1
chr2:182962279-182964675	N_w	0	0	7	16	0	1	36	48	21	30	21	14	7	44	6	25	42	106	45	21	15	14	41	2	45	1	27	47	33	0	5	2	1	0	1	2	3	8	14	8	14	12	8	3	0	19	ENSG00000061676.14	NCKAP1
chr2:182964809-182967215	N_w	0	0	4	17	1	0	8	27	4	26	13	15	10	34	8	8	41	124	56	26	17	15	41	1	25	2	35	46	39	0	2	0	0	0	1	6	3	11	10	12	11	9	17	2	0	26	ENSG00000061676.14	NCKAP1
chr2:182967362-182976892	N_w	0	0	6	19	0	2	25	26	12	14	23	5	7	39	6	11	32	100	45	22	6	12	29	0	35	2	26	51	28	3	1	0	1	0	0	2	0	6	10	8	12	6	1	1	0	17	ENSG00000061676.14	NCKAP1
chr2:182976952-182978833	N_w	0	0	6	15	0	0	8	13	7	17	11	8	5	45	0	19	41	124	47	10	4	10	24	1	25	2	26	40	23	2	3	0	0	0	0	2	2	7	13	1	2	4	2	0	0	7	ENSG00000061676.14	NCKAP1
chr2:182978916-182981243	N_w	0	0	3	8	0	0	20	25	11	21	11	13	12	29	6	17	26	94	52	29	17	10	38	0	44	1	24	34	22	0	0	0	1	0	0	3	4	13	6	6	13	4	4	3	1	16	ENSG00000061676.14	NCKAP1
chr2:182981377-182982820	N_w	0	1	13	24	0	0	52	52	15	35	13	23	17	47	6	9	39	132	60	43	25	8	57	6	68	0	36	61	31	1	3	3	1	1	0	8	4	11	16	15	15	5	13	0	3	26	ENSG00000061676.14	NCKAP1
chr2:182982928-182983285	N_w	4	0	6	6	0	0	17	15	9	8	14	6	13	31	7	13	23	70	41	21	13	9	35	1	21	3	19	20	28	1	2	0	1	2	0	0	4	10	8	5	3	1	7	1	0	11	ENSG00000061676.14	NCKAP1
chr2:182983383-182986170	N_w	1	2	6	5	0	0	17	28	4	14	7	8	5	28	4	8	30	48	24	18	13	9	18	8	18	2	17	24	28	0	0	3	2	0	0	0	5	5	8	5	3	3	4	0	3	11	ENSG00000061676.14	NCKAP1
chr2:182986228-182989029	N_w	0	1	7	13	0	0	20	29	7	14	12	14	6	37	5	8	42	100	46	21	12	14	37	0	27	0	22	39	35	0	2	0	0	0	0	0	3	8	9	4	1	0	6	0	0	9	ENSG00000061676.14	NCKAP1
chr2:182989187-182994838	N_w	0	0	2	10	0	0	36	38	20	26	15	15	14	26	13	10	40	115	54	29	22	2	64	1	55	3	21	51	44	0	1	0	0	0	0	4	3	6	17	7	10	5	8	1	0	20	ENSG00000061676.14	NCKAP1
chr2:182994888-182995700	N_w	0	0	4	12	0	0	26	23	12	26	18	20	16	28	10	13	28	110	64	25	23	5	56	1	59	4	19	50	31	0	1	0	1	0	0	2	3	9	12	6	4	3	4	0	1	21	ENSG00000061676.14	NCKAP1
chr2:182995839-183001952	N_w	0	2	5	7	1	2	16	24	6	12	11	8	8	17	5	10	27	85	32	25	15	7	25	0	24	2	16	18	24	0	1	0	3	0	0	2	5	7	11	4	3	3	6	3	2	17	ENSG00000061676.14	NCKAP1
chr2:183002044-183002126	N_w	0	4	6	8	0	0	6	28	1	6	7	5	6	21	1	2	23	68	22	7	9	3	10	1	24	2	20	16	12	0	1	0	4	0	2	0	4	3	9	5	3	3	2	2	0	8	ENSG00000061676.14	NCKAP1
chr2:183002270-183002973	N_w	0	2	0	8	0	0	13	6	6	18	10	10	7	26	6	4	24	57	30	1	5	3	46	0	7	1	10	21	15	0	0	0	1	0	0	1	1	1	6	3	7	2	2	0	1	7	ENSG00000061676.14	NCKAP1
chr2:183003031-183003232	N_w	0	2	1	10	1	0	10	5	2	10	1	4	1	15	3	6	15	70	29	3	2	6	18	0	6	0	11	16	18	1	0	0	0	0	0	0	1	4	3	2	2	2	5	0	0	8	ENSG00000061676.14	NCKAP1
chr2:183003326-183023805	N_w	2	0	2	13	0	0	11	20	0	14	2	6	2	17	6	3	19	66	37	16	9	5	23	1	22	1	15	16	23	0	3	0	2	0	1	0	4	6	8	3	6	1	2	0	0	19	ENSG00000061676.14	NCKAP1
chr2:183023917-183037991	N_w	0	0	1	0	0	0	11	18	3	4	4	8	7	9	0	2	12	32	20	13	6	1	8	0	14	0	9	12	15	1	0	1	1	0	0	0	1	2	7	2	4	1	3	0	0	12	ENSG00000061676.14	NCKAP1
chr17:49210842-49216530	N_w	1	1	3	1	0	0	6	4	1	11	0	0	10	6	2	4	8	8	4	4	2	7	8	1	6	2	2	2	9	1	0	0	1	0	3	1	0	3	0	2	2	3	3	0	1	0	ENSG00000108798.8	ABI3
chr17:49216699-49217738	N_w	1	0	7	4	1	0	6	5	4	2	0	2	6	0	6	1	8	1	5	1	0	2	2	2	3	3	3	3	8	0	1	0	4	0	0	0	0	0	1	1	0	0	3	0	3	0	ENSG00000108798.8	ABI3
chr17:49217916-49219539	N_w	5	2	9	2	0	0	11	7	2	3	4	2	7	8	6	1	5	4	1	4	7	9	3	3	10	1	3	1	5	1	2	0	4	1	0	2	0	0	0	0	4	2	3	1	0	0	ENSG00000108798.8	ABI3
chr17:49219626-49219857	N_w	0	1	7	2	1	0	19	9	7	5	1	3	10	4	6	2	8	7	9	6	3	7	6	2	9	0	7	6	8	1	0	2	4	0	2	3	3	4	2	4	2	1	0	0	4	1	ENSG00000108798.8	ABI3
chr17:49219954-49220168	N_w	5	1	3	3	3	1	1	4	4	0	1	0	7	0	7	0	3	3	3	5	3	0	0	7	11	2	6	1	5	2	3	1	3	1	0	0	1	0	2	3	4	1	1	1	6	0	ENSG00000108798.8	ABI3
chr17:49220327-49222069	N_w	0	0	1	1	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	ENSG00000108798.8	ABI3
chr17:49220327-49222090	N_w	0	1	5	2	0	1	16	8	2	2	2	8	8	2	1	0	6	6	2	2	12	4	2	5	4	1	4	6	7	1	1	3	3	3	1	0	3	0	3	5	6	1	0	1	6	0	ENSG00000108798.8	ABI3
chr17:49222226-49222551	N_w	5	2	6	0	4	2	7	2	3	5	6	1	8	5	8	5	10	7	6	5	4	7	3	5	12	4	12	0	9	3	3	5	7	9	6	6	1	1	5	3	6	0	3	7	3	0	ENSG00000108798.8	ABI3
chr12:110435218-110436109	N_w	468	242	282	155	382	195	388	371	201	204	148	134	228	325	329	228	375	233	201	247	173	541	211	746	407	419	204	173	263	332	350	326	515	274	192	120	58	103	101	211	311	184	175	531	535	102	ENSG00000111229.15	ARPC3
chr12:110436202-110436556	N_w	5	5	6	6	6	5	11	5	6	5	0	6	6	8	6	0	6	10	5	6	2	10	5	10	6	4	2	3	4	3	2	6	15	0	2	2	1	4	3	2	6	6	4	11	6	0	ENSG00000111229.15	ARPC3
chr12:110436205-110436556	N_w	398	273	365	261	396	192	524	539	275	343	243	213	233	524	340	218	536	342	261	320	179	739	339	721	570	401	331	284	304	348	258	354	530	214	202	151	96	133	148	223	381	234	287	477	660	146	ENSG00000111229.15	ARPC3
chr12:110436205-110436664	N_w	5	0	0	1	1	0	1	3	0	3	1	2	1	3	2	0	2	1	0	0	1	2	1	3	3	2	2	1	1	0	4	1	2	3	0	2	1	0	1	1	0	1	1	6	0	1	ENSG00000111229.15	ARPC3
chr12:110436205-110437083	N_w	2	0	0	0	0	0	2	0	0	0	0	1	0	0	1	9	1	0	0	0	0	2	0	20	1	0	0	1	1	1	15	1	0	0	1	1	0	0	0	1	3	2	0	2	4	0	ENSG00000111229.15	ARPC3
chr12:110436684-110437083	N_w	364	206	345	279	326	189	379	393	220	382	226	241	197	569	321	282	628	374	233	252	161	770	288	429	428	344	361	391	337	314	266	231	466	109	111	111	47	107	142	164	213	200	243	419	589	136	ENSG00000111229.15	ARPC3
chr12:110437153-110440311	N_w	166	103	162	126	155	77	196	139	112	175	93	98	110	253	150	124	277	167	111	110	93	338	124	175	186	141	163	155	150	136	126	91	209	49	35	44	20	37	44	56	92	63	116	182	246	51	ENSG00000111229.15	ARPC3
chr12:110437153-110445451	N_w	0	3	2	1	0	0	1	0	0	0	0	1	0	2	0	0	2	0	1	1	0	0	1	1	0	0	2	1	0	1	1	0	1	0	0	1	1	0	0	1	1	0	0	1	4	2	ENSG00000111229.15	ARPC3
chr12:110440389-110445451	N_w	208	106	289	173	252	102	457	363	185	234	164	161	280	442	150	234	458	310	212	311	174	476	211	230	379	257	256	227	278	209	192	149	267	40	61	73	34	80	118	81	129	162	190	271	296	94	ENSG00000111229.15	ARPC3
chr12:110443068-110445451	N_w	0	0	0	1	0	0	0	4	0	1	0	0	0	2	1	0	0	1	1	2	0	0	2	0	0	0	0	0	2	1	0	0	1	1	0	0	0	0	1	0	1	0	0	2	2	0	ENSG00000111229.15	ARPC3
chr12:110445552-110450254	N_w	36	13	110	57	37	10	283	214	51	83	45	45	115	153	124	72	127	108	104	117	48	140	65	31	142	54	89	66	103	37	29	9	60	4	29	18	19	36	53	52	80	65	62	37	39	31	ENSG00000111229.15	ARPC3
chr6:110100680-110101587	N_w	11	3	16	13	4	5	20	20	17	5	10	7	14	29	24	14	28	132	56	32	17	22	18	11	37	22	30	26	26	17	16	8	15	2	3	0	2	4	7	3	6	4	11	20	13	8	ENSG00000112290.12	WASF1
chr6:110102217-110103377	N_w	3	0	7	9	0	0	12	14	7	11	11	3	14	20	11	6	15	84	31	21	9	10	11	2	19	12	14	22	10	2	1	5	8	0	0	0	4	1	3	1	4	1	4	3	4	5	ENSG00000112290.12	WASF1
chr6:110103558-110105406	N_w	0	0	9	8	0	1	6	10	14	9	8	7	12	13	10	6	13	72	43	15	16	8	12	0	12	8	16	22	24	3	4	1	6	0	1	0	1	5	4	4	1	2	6	7	4	4	ENSG00000112290.12	WASF1
chr6:110105577-110107076	N_w	0	0	0	1	0	0	2	1	1	0	0	0	1	5	2	1	4	7	5	5	1	0	0	0	3	0	1	3	0	0	0	1	2	0	0	0	0	1	2	1	0	0	0	0	0	0	ENSG00000112290.12	WASF1
chr6:110105580-110107076	N_w	2	3	8	9	2	0	24	23	6	10	10	4	12	17	10	13	9	89	44	20	16	7	11	0	19	11	21	22	20	0	2	0	1	0	1	1	2	0	0	3	1	4	6	2	1	6	ENSG00000112290.12	WASF1
chr6:110107195-110108527	N_w	0	0	3	7	0	1	8	13	3	4	3	5	5	14	7	4	17	77	22	8	5	1	12	2	9	2	14	20	15	2	2	0	4	0	2	0	1	0	3	0	0	1	3	6	2	0	ENSG00000112290.12	WASF1
chr6:110108682-110113325	N_w	2	0	13	8	0	1	18	29	8	7	10	8	4	10	9	9	15	94	36	14	5	5	8	1	32	5	17	18	13	1	4	4	1	0	0	3	2	1	7	3	0	0	0	0	2	6	ENSG00000112290.12	WASF1
chr6:110113461-110127468	N_w	0	0	5	9	0	0	20	29	4	12	14	4	2	21	8	9	23	92	39	12	17	6	11	3	18	3	14	22	15	1	0	3	2	0	0	0	3	2	9	1	1	2	7	1	2	5	ENSG00000112290.12	WASF1
chr6:110127630-110160634	N_w	0	0	5	2	0	0	3	0	0	1	1	0	0	3	4	3	5	13	4	2	3	1	2	0	3	1	1	3	5	0	1	1	1	0	1	0	0	0	0	0	0	0	2	0	0	0	ENSG00000112290.12	WASF1
chr6:110127630-110178597	N_w	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	3	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	ENSG00000112290.12	WASF1
chr6:110127630-110179438	N_w	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	24	4	5	3	0	3	0	3	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	ENSG00000112290.12	WASF1
chr6:110160733-110178597	N_w	0	0	0	1	0	0	2	2	2	2	1	0	0	2	0	1	0	4	1	0	1	0	0	0	0	0	2	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	ENSG00000112290.12	WASF1
chr6:110160733-110179438	N_w	0	0	1	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	ENSG00000112290.12	WASF1
chr6:110177187-110178597	N_w	0	0	1	0	0	0	1	1	1	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	ENSG00000112290.12	WASF1
chr6:110178743-110179438	N_w	0	0	2	0	0	0	2	3	1	1	1	2	1	0	0	0	0	4	4	1	4	0	0	1	1	0	1	2	3	0	0	0	0	0	0	0	1	0	1	0	0	0	0	2	0	1	ENSG00000112290.12	WASF1
chr6:110178743-110179840	N_w	0	0	0	1	0	0	0	2	0	0	0	0	0	1	0	0	1	1	0	2	0	0	0	0	1	0	1	2	1	1	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	ENSG00000112290.12	WASF1
chr2:113890324-113913171	N_w	4	5	22	31	3	1	73	81	26	31	37	33	49	32	33	14	64	67	26	33	33	7	11	3	31	10	46	43	49	2	1	1	6	1	1	3	4	6	21	6	11	7	21	3	0	7	ENSG00000115091.11	ACTR3
chr2:113913228-113916883	N_w	2	5	30	43	3	1	67	61	28	65	51	52	50	77	33	36	113	90	47	41	29	21	21	3	42	17	80	65	71	3	7	2	18	0	0	5	4	12	26	4	8	9	41	4	1	20	ENSG00000115091.11	ACTR3
chr2:113917009-113927344	N_w	7	2	53	64	1	2	173	199	47	60	65	50	84	158	97	85	210	138	65	80	61	27	59	5	93	14	88	112	118	7	14	7	37	0	4	10	1	14	31	25	22	21	57	7	4	34	ENSG00000115091.11	ACTR3
chr2:113927456-113931300	N_w	9	5	43	94	1	6	171	222	67	109	99	88	88	203	88	94	251	152	100	95	65	28	71	11	74	23	101	143	144	10	18	3	40	0	9	9	10	24	32	29	44	34	66	13	24	57	ENSG00000115091.11	ACTR3
chr2:113931397-113934278	N_w	10	13	61	88	3	2	148	249	88	115	119	93	40	171	91	115	226	158	93	67	50	52	86	5	110	21	128	130	160	7	13	11	39	2	4	10	5	27	26	6	11	21	104	12	13	45	ENSG00000115091.11	ACTR3
chr2:113934387-113939958	N_w	8	7	41	58	8	0	52	56	70	69	58	69	60	145	45	88	199	139	68	55	25	24	35	5	43	17	97	124	126	10	9	5	20	0	4	8	8	18	31	21	15	26	37	12	3	31	ENSG00000115091.11	ACTR3
chr2:113940103-113942185	N_w	13	15	82	84	12	1	172	217	109	122	92	85	95	220	96	113	261	183	77	80	77	71	94	9	118	40	94	151	142	23	21	10	45	0	14	20	7	20	35	43	36	36	99	30	26	49	ENSG00000115091.11	ACTR3
chr2:113942360-113951478	N_w	28	20	85	93	15	12	40	86	72	108	106	101	40	237	88	112	260	162	95	24	24	59	105	19	70	37	69	147	185	25	23	15	76	2	6	13	9	16	29	12	11	26	95	34	35	44	ENSG00000115091.11	ACTR3
chr2:113951572-113951719	N_w	15	21	74	66	21	5	205	167	63	87	70	60	51	155	64	101	169	113	64	50	43	37	56	11	76	31	104	121	122	21	19	22	73	5	12	11	5	21	29	18	33	33	37	21	32	28	ENSG00000115091.11	ACTR3
