junction	type	ERR2598276	ERR2598277	ERR2598278	ERR2598279	ERR2598286	ERR2598345	ERR2598360	ERR2598361	ERR2598362	ERR2598363	ERR2598302	ERR2598303	ERR2598304	ERR2598311	geneID	geneName
chr5:157328050-157330741	N_w	1	9	5	8	3	25	10	8	5	3	4	6	26	13	ENSG00000055163.19	CYFIP2
chr5:157330851-157333326	N_w	0	7	3	13	3	11	9	5	5	1	5	9	15	14	ENSG00000055163.19	CYFIP2
chr5:157333447-157339056	N_w	2	4	3	6	4	17	6	5	4	1	3	1	15	5	ENSG00000055163.19	CYFIP2
chr5:157339257-157341069	N_w	1	26	4	15	4	31	27	5	18	17	12	11	31	40	ENSG00000055163.19	CYFIP2
chr5:157341158-157359004	N_w	5	43	9	22	6	23	25	16	20	27	19	17	49	31	ENSG00000055163.19	CYFIP2
chr5:157359149-157360281	N_w	11	20	3	14	10	14	17	8	7	6	3	12	32	17	ENSG00000055163.19	CYFIP2
chr5:157360373-157361467	N_w	11	37	18	32	11	18	44	18	24	24	16	14	25	35	ENSG00000055163.19	CYFIP2
chr5:157361599-157382589	N_w	15	29	15	20	8	17	31	12	11	17	13	8	27	20	ENSG00000055163.19	CYFIP2
chr5:157382663-157383264	N_w	7	17	12	18	6	14	13	9	13	10	9	5	23	7	ENSG00000055163.19	CYFIP2
chr5:157383360-157389188	N_w	16	25	9	22	14	10	14	10	10	10	24	13	24	5	ENSG00000055163.19	CYFIP2
chr5:157389428-157390520	N_w	9	7	11	10	8	15	6	7	4	2	16	8	22	1	ENSG00000055163.19	CYFIP2
chr5:157389428-157392832	N_w	2	2	1	4	0	0	0	0	0	0	0	0	1	0	ENSG00000055163.19	CYFIP2
chr5:157390669-157392832	N_w	23	42	15	29	20	20	33	12	7	28	21	16	23	19	ENSG00000055163.19	CYFIP2
chr2:182925819-182926815	N_w	15	14	9	36	13	60	30	8	24	9	39	31	36	15	ENSG00000061676.14	NCKAP1
chr2:182926906-182928116	N_w	16	47	39	116	34	149	57	40	87	25	113	117	117	86	ENSG00000061676.14	NCKAP1
chr2:182928227-182928782	N_w	11	20	22	48	18	105	33	16	59	10	84	46	93	59	ENSG00000061676.14	NCKAP1
chr2:182928900-182930694	N_w	14	19	23	103	23	146	46	26	58	9	98	93	105	62	ENSG00000061676.14	NCKAP1
chr2:182930789-182934751	N_w	12	16	14	54	11	90	29	23	50	8	71	46	93	52	ENSG00000061676.14	NCKAP1
chr2:182934833-182935292	N_w	5	18	16	41	11	100	22	11	29	5	47	67	71	51	ENSG00000061676.14	NCKAP1
chr2:182935376-182942069	N_w	8	19	18	78	30	119	48	17	108	8	113	76	110	94	ENSG00000061676.14	NCKAP1
chr2:182942164-182952404	N_w	5	11	9	27	15	126	22	12	61	1	51	54	75	47	ENSG00000061676.14	NCKAP1
chr2:182952503-182952792	N_w	5	14	10	41	9	74	22	21	63	6	58	43	84	69	ENSG00000061676.14	NCKAP1
chr2:182952924-182953112	N_w	2	12	10	32	9	106	16	18	47	0	63	31	84	42	ENSG00000061676.14	NCKAP1
chr2:182953332-182956461	N_w	1	5	10	36	17	88	18	14	70	6	50	52	83	98	ENSG00000061676.14	NCKAP1
chr2:182956594-182957456	N_w	1	5	1	15	5	104	12	11	41	0	46	28	71	57	ENSG00000061676.14	NCKAP1
chr2:182957597-182962158	N_w	0	4	4	10	10	103	5	8	42	0	40	16	74	24	ENSG00000061676.14	NCKAP1
chr2:182962279-182964675	N_w	0	1	1	14	3	89	7	5	41	5	33	29	73	46	ENSG00000061676.14	NCKAP1
chr2:182964809-182967215	N_w	3	0	1	11	9	97	5	6	37	0	32	26	63	36	ENSG00000061676.14	NCKAP1
chr2:182967362-182976892	N_w	0	2	2	11	2	57	2	5	24	0	26	20	29	11	ENSG00000061676.14	NCKAP1
chr2:182976952-182978833	N_w	0	0	1	8	3	58	3	3	24	0	18	20	22	9	ENSG00000061676.14	NCKAP1
chr2:182978916-182981243	N_w	1	1	2	10	1	106	5	5	34	0	42	22	51	26	ENSG00000061676.14	NCKAP1
chr2:182981377-182982820	N_w	0	4	3	10	0	88	7	7	62	0	37	25	69	58	ENSG00000061676.14	NCKAP1
chr2:182982928-182983285	N_w	0	0	1	7	1	59	0	4	22	0	25	17	31	16	ENSG00000061676.14	NCKAP1
chr2:182983383-182986170	N_w	0	2	3	6	3	46	2	2	17	1	18	12	37	19	ENSG00000061676.14	NCKAP1
chr2:182986228-182989029	N_w	0	0	2	2	2	78	3	1	26	1	27	7	48	28	ENSG00000061676.14	NCKAP1
chr2:182989187-182994838	N_w	0	3	1	5	3	97	5	10	30	0	36	15	58	40	ENSG00000061676.14	NCKAP1
chr2:182994888-182995700	N_w	0	0	1	7	1	86	3	7	40	0	32	13	49	22	ENSG00000061676.14	NCKAP1
chr2:182995839-183001952	N_w	5	5	3	6	3	45	7	2	17	3	24	5	37	36	ENSG00000061676.14	NCKAP1
chr2:183002044-183002126	N_w	1	4	3	4	1	28	7	2	24	0	17	11	21	25	ENSG00000061676.14	NCKAP1
chr2:183002270-183002973	N_w	0	5	1	11	0	46	4	1	16	3	7	6	13	10	ENSG00000061676.14	NCKAP1
chr2:183003031-183003232	N_w	0	1	0	4	2	42	1	1	7	0	12	8	19	8	ENSG00000061676.14	NCKAP1
chr2:183003326-183023805	N_w	0	2	1	6	3	58	3	8	29	1	22	9	36	17	ENSG00000061676.14	NCKAP1
chr2:183023917-183037991	N_w	0	3	3	0	0	35	2	3	19	2	6	2	21	18	ENSG00000061676.14	NCKAP1
chr17:49210842-49216530	N_w	1	0	2	0	1	9	0	0	1	0	8	2	1	0	ENSG00000108798.8	ABI3
chr17:49216699-49217738	N_w	1	1	0	0	1	8	0	2	0	2	6	0	1	1	ENSG00000108798.8	ABI3
chr17:49217916-49219539	N_w	2	3	1	2	3	8	2	0	0	1	12	3	3	1	ENSG00000108798.8	ABI3
chr17:49219626-49219857	N_w	1	3	4	2	0	3	0	3	1	2	19	5	1	1	ENSG00000108798.8	ABI3
chr17:49219954-49220168	N_w	0	5	1	1	3	4	1	0	0	0	4	0	0	4	ENSG00000108798.8	ABI3
chr17:49220327-49222090	N_w	1	6	1	1	0	3	4	1	4	1	10	3	3	4	ENSG00000108798.8	ABI3
chr17:49222226-49222551	N_w	4	3	5	2	2	11	3	0	4	1	12	6	2	2	ENSG00000108798.8	ABI3
chr12:110435218-110436109	N_w	273	1117	248	578	192	109	671	205	134	625	278	222	173	316	ENSG00000111229.15	ARPC3
chr12:110436202-110436556	N_w	2	13	4	12	0	1	9	4	4	4	4	4	5	5	ENSG00000111229.15	ARPC3
chr12:110436205-110436556	N_w	290	1189	276	787	221	136	749	305	225	625	359	317	261	365	ENSG00000111229.15	ARPC3
chr12:110436205-110436664	N_w	1	8	2	9	9	0	10	7	3	10	3	1	1	6	ENSG00000111229.15	ARPC3
chr12:110436205-110437083	N_w	2	1	0	2	0	35	12	0	0	6	3	7	0	0	ENSG00000111229.15	ARPC3
chr12:110436684-110437083	N_w	192	564	226	586	197	129	446	229	219	319	249	258	210	360	ENSG00000111229.15	ARPC3
chr12:110437153-110440311	N_w	72	198	80	210	75	71	152	87	86	98	83	103	99	147	ENSG00000111229.15	ARPC3
chr12:110437153-110445451	N_w	1	2	0	2	1	0	1	1	0	0	3	1	1	1	ENSG00000111229.15	ARPC3
chr12:110440389-110445451	N_w	130	294	166	473	162	178	220	188	162	138	274	198	203	220	ENSG00000111229.15	ARPC3
chr12:110443068-110445451	N_w	1	4	0	1	0	1	0	2	2	0	0	0	0	0	ENSG00000111229.15	ARPC3
chr12:110445552-110450254	N_w	56	195	87	212	80	68	161	111	57	104	133	115	68	109	ENSG00000111229.15	ARPC3
chr6:110100680-110101587	N_w	303	741	74	130	324	8	484	327	313	293	23	10	30	412	ENSG00000112290.12	WASF1
chr6:110101678-110103377	N_w	1	4	0	0	1	0	1	0	0	4	0	0	0	1	ENSG00000112290.12	WASF1
chr6:110101720-110103377	N_w	0	8	0	1	2	0	2	1	3	6	0	0	0	1	ENSG00000112290.12	WASF1
chr6:110102217-110103377	N_w	46	236	16	48	152	9	139	102	146	93	10	1	9	294	ENSG00000112290.12	WASF1
chr6:110103558-110105406	N_w	31	108	9	28	92	9	95	83	162	27	16	0	19	162	ENSG00000112290.12	WASF1
chr6:110103558-110107076	N_w	7	6	2	2	4	0	7	13	5	1	0	0	0	5	ENSG00000112290.12	WASF1
chr6:110105577-110107076	N_w	5	17	2	4	17	0	12	14	25	6	0	1	2	15	ENSG00000112290.12	WASF1
chr6:110105580-110107076	N_w	30	137	13	29	94	8	137	107	204	43	13	2	15	242	ENSG00000112290.12	WASF1
chr6:110107195-110108527	N_w	18	35	7	15	45	1	55	70	103	15	5	4	15	114	ENSG00000112290.12	WASF1
chr6:110108682-110113325	N_w	20	90	16	17	72	6	91	116	172	28	10	0	10	273	ENSG00000112290.12	WASF1
chr6:110111382-110113325	N_w	18	21	3	5	16	0	9	10	5	7	0	0	3	4	ENSG00000112290.12	WASF1
chr6:110113461-110125382	N_w	3	3	1	0	3	0	5	3	10	1	0	0	0	1	ENSG00000112290.12	WASF1
chr6:110113461-110127468	N_w	25	50	4	26	93	13	63	48	168	16	8	0	18	141	ENSG00000112290.12	WASF1
chr6:110125495-110127468	N_w	3	10	0	0	5	0	12	5	9	4	0	0	0	14	ENSG00000112290.12	WASF1
chr6:110127630-110160634	N_w	9	28	2	7	40	1	14	49	42	9	1	1	5	45	ENSG00000112290.12	WASF1
chr6:110127630-110178597	N_w	0	0	0	0	0	0	0	4	6	0	0	0	0	5	ENSG00000112290.12	WASF1
chr6:110127630-110179438	N_w	0	2	0	0	2	0	0	0	12	0	0	0	7	11	ENSG00000112290.12	WASF1
chr6:110160733-110177146	N_w	0	4	0	1	3	0	5	3	5	1	0	1	0	4	ENSG00000112290.12	WASF1
chr6:110160733-110178597	N_w	6	6	3	3	11	0	3	13	19	0	0	0	1	14	ENSG00000112290.12	WASF1
chr6:110160733-110179438	N_w	0	5	0	2	14	1	10	8	15	2	1	0	0	22	ENSG00000112290.12	WASF1
chr6:110177187-110178597	N_w	4	4	0	1	3	1	3	10	3	2	0	0	0	2	ENSG00000112290.12	WASF1
chr6:110177804-110178597	N_w	1	4	0	1	1	0	4	3	2	1	0	0	1	2	ENSG00000112290.12	WASF1
chr6:110178743-110179438	N_w	6	5	1	2	7	2	7	5	8	3	0	0	1	29	ENSG00000112290.12	WASF1
chr6:110178743-110179840	N_w	1	4	0	0	3	0	1	5	4	0	0	0	1	4	ENSG00000112290.12	WASF1
chr2:113890324-113913171	N_w	2	9	2	14	18	30	11	7	41	3	26	9	28	82	ENSG00000115091.11	ACTR3
chr2:113890779-113913171	N_w	1	5	2	1	5	0	9	5	25	1	0	0	0	35	ENSG00000115091.11	ACTR3
chr2:113913228-113916883	N_w	6	17	7	25	22	42	18	20	79	6	30	16	51	104	ENSG00000115091.11	ACTR3
chr2:113917009-113927344	N_w	11	38	12	47	44	86	76	58	119	25	46	24	61	258	ENSG00000115091.11	ACTR3
chr2:113927456-113931300	N_w	15	55	10	52	53	75	107	80	154	25	72	31	69	308	ENSG00000115091.11	ACTR3
chr2:113931397-113934157	N_w	2	8	1	1	3	3	9	6	5	6	0	0	4	10	ENSG00000115091.11	ACTR3
chr2:113931397-113934278	N_w	15	42	12	37	33	107	69	52	136	10	60	26	63	124	ENSG00000115091.11	ACTR3
chr2:113934387-113939958	N_w	20	39	6	28	43	50	68	49	75	13	54	19	51	110	ENSG00000115091.11	ACTR3
chr2:113940103-113942185	N_w	31	95	23	74	79	95	161	101	157	42	97	43	72	257	ENSG00000115091.11	ACTR3
chr2:113942360-113951478	N_w	38	66	21	57	66	96	75	80	113	17	87	28	67	79	ENSG00000115091.11	ACTR3
chr2:113951572-113951719	N_w	39	145	20	46	40	70	147	61	78	113	55	28	51	228	ENSG00000115091.11	ACTR3
chr2:113951846-113955622	N_w	61	148	34	75	70	75	166	92	152	62	81	33	72	262	ENSG00000115091.11	ACTR3
chr2:113955707-113957359	N_w	125	316	64	179	201	157	373	208	238	142	199	70	142	465	ENSG00000115091.11	ACTR3
chr12:54499466-54500532	N_w	0	0	0	1	0	1	1	0	1	0	3	1	0	5	ENSG00000123338.12	NCKAP1L
chr12:54500626-54507852	N_w	0	0	0	1	1	1	0	0	1	2	2	1	0	1	ENSG00000123338.12	NCKAP1L
chr12:54507910-54508388	N_w	0	0	0	2	1	1	0	2	0	1	3	1	0	0	ENSG00000123338.12	NCKAP1L
chr12:54517643-54517805	N_w	0	2	0	1	2	6	1	3	0	1	3	0	0	2	ENSG00000123338.12	NCKAP1L
chr12:54519333-54520693	N_w	0	1	0	0	0	1	1	2	0	0	5	0	0	1	ENSG00000123338.12	NCKAP1L
chr12:54520827-54521118	N_w	1	6	0	2	0	3	2	1	0	1	1	1	0	4	ENSG00000123338.12	NCKAP1L
chr12:54521239-54523393	N_w	0	1	1	1	0	2	1	1	1	0	2	3	0	0	ENSG00000123338.12	NCKAP1L
chr12:54523540-54523824	N_w	1	1	0	2	0	2	0	2	0	0	3	2	0	0	ENSG00000123338.12	NCKAP1L
chr12:54523957-54526527	N_w	0	4	0	2	0	1	1	2	1	1	1	1	0	1	ENSG00000123338.12	NCKAP1L
chr12:54526747-54528246	N_w	0	3	1	1	1	1	5	1	2	1	5	2	0	2	ENSG00000123338.12	NCKAP1L
chr12:54528378-54531259	N_w	1	4	0	0	0	2	3	1	1	0	3	4	1	3	ENSG00000123338.12	NCKAP1L
chr12:54531358-54531490	N_w	1	3	1	5	2	9	3	0	1	0	7	6	0	1	ENSG00000123338.12	NCKAP1L
chr12:54531585-54531742	N_w	2	1	0	0	0	4	2	3	2	2	3	1	0	0	ENSG00000123338.12	NCKAP1L
chr12:54531826-54532169	N_w	1	5	2	0	1	7	4	0	1	2	4	5	3	2	ENSG00000123338.12	NCKAP1L
chr12:54532251-54535103	N_w	0	0	0	1	1	3	0	2	0	2	3	1	0	1	ENSG00000123338.12	NCKAP1L
chr12:54535198-54536128	N_w	1	11	2	4	3	2	6	2	2	5	3	1	1	2	ENSG00000123338.12	NCKAP1L
chr12:54536246-54536943	N_w	1	16	4	6	3	6	2	7	2	6	10	2	0	6	ENSG00000123338.12	NCKAP1L
chr12:54537054-54538883	N_w	1	2	0	2	0	2	1	2	1	1	3	1	0	0	ENSG00000123338.12	NCKAP1L
chr12:54538974-54542574	N_w	2	9	4	4	3	2	15	4	2	9	4	2	0	0	ENSG00000123338.12	NCKAP1L
chr7:99374782-99385701	N_w	2	7	3	3	3	9	6	1	5	4	11	2	2	8	ENSG00000130429.12	ARPC1B
chr7:99377440-99385701	N_w	0	2	0	1	1	3	0	0	0	1	3	2	1	0	ENSG00000130429.12	ARPC1B
chr7:99377456-99385701	N_w	0	0	0	2	0	3	1	0	2	1	7	6	0	0	ENSG00000130429.12	ARPC1B
chr7:99385779-99386684	N_w	4	17	19	37	17	42	19	7	8	15	103	30	36	27	ENSG00000130429.12	ARPC1B
chr7:99386790-99388038	N_w	10	23	19	40	19	62	21	13	22	40	88	40	21	18	ENSG00000130429.12	ARPC1B
chr7:99388262-99389904	N_w	21	43	29	54	22	65	30	12	29	40	104	23	24	26	ENSG00000130429.12	ARPC1B
chr7:99390013-99390892	N_w	9	10	22	45	8	22	5	16	9	11	84	22	19	8	ENSG00000130429.12	ARPC1B
chr7:99391100-99391177	N_w	42	71	58	41	29	66	46	22	28	33	128	44	46	41	ENSG00000130429.12	ARPC1B
chr7:99391254-99392670	N_w	10	39	33	32	13	46	17	9	18	14	71	25	28	19	ENSG00000130429.12	ARPC1B
chr7:99392877-99394028	N_w	18	72	29	46	29	47	20	7	15	36	58	24	34	20	ENSG00000130429.12	ARPC1B
chr7:99394120-99394450	N_w	45	73	33	57	30	37	24	20	21	62	99	42	24	15	ENSG00000130429.12	ARPC1B
chr13:26557820-26612960	N_w	0	0	0	0	0	3	0	0	0	0	0	0	8	0	ENSG00000132970.12	WASF3
chr13:26613059-26642260	N_w	0	1	1	2	0	6	2	2	5	0	0	0	19	13	ENSG00000132970.12	WASF3
chr13:26642104-26642260	N_w	0	10	0	0	2	0	9	7	7	1	0	0	0	6	ENSG00000132970.12	WASF3
chr13:26642404-26665027	N_w	5	8	0	4	7	10	12	15	45	3	4	3	35	17	ENSG00000132970.12	WASF3
chr13:26665163-26667516	N_w	9	15	2	5	9	8	24	27	39	8	9	2	40	33	ENSG00000132970.12	WASF3
chr13:26667671-26671871	N_w	2	16	1	3	9	12	19	16	14	10	2	0	12	19	ENSG00000132970.12	WASF3
chr13:26671990-26676548	N_w	11	47	4	11	14	9	31	39	46	11	1	3	35	40	ENSG00000132970.12	WASF3
chr13:26671990-26680034	N_w	0	0	0	0	0	10	2	1	3	1	6	2	11	2	ENSG00000132970.12	WASF3
chr13:26671990-26681053	N_w	4	31	0	2	10	0	12	17	6	10	1	0	0	19	ENSG00000132970.12	WASF3
chr13:26676725-26681053	N_w	16	47	1	8	20	3	48	23	34	14	3	4	32	56	ENSG00000132970.12	WASF3
chr13:26680202-26681053	N_w	0	1	1	2	2	14	1	0	0	0	4	0	21	0	ENSG00000132970.12	WASF3
chr13:26681321-26682606	N_w	11	51	3	2	16	7	21	14	16	23	5	2	30	55	ENSG00000132970.12	WASF3
chr13:26682975-26685687	N_w	50	120	2	11	32	13	91	47	21	75	9	7	17	39	ENSG00000132970.12	WASF3
chr7:152759927-152783186	N_w	0	1	0	1	3	0	1	0	4	1	0	2	1	6	ENSG00000133627.17	ACTR3B
chr7:152783243-152800530	N_w	0	3	2	4	6	2	3	3	10	3	3	2	1	6	ENSG00000133627.17	ACTR3B
chr7:152783243-152801620	N_w	5	0	0	3	5	1	9	6	5	2	0	0	0	8	ENSG00000133627.17	ACTR3B
chr7:152800656-152801620	N_w	22	75	5	31	29	18	43	42	28	37	9	16	13	52	ENSG00000133627.17	ACTR3B
chr7:152801732-152814549	N_w	9	31	8	23	13	12	41	25	34	8	6	10	6	56	ENSG00000133627.17	ACTR3B
chr7:152807074-152814549	N_w	1	7	0	1	3	0	4	8	7	3	0	0	0	4	ENSG00000133627.17	ACTR3B
chr7:152807211-152814549	N_w	1	1	0	0	2	0	3	1	4	0	0	0	0	5	ENSG00000133627.17	ACTR3B
chr7:152811734-152814549	N_w	0	0	0	1	0	1	0	2	0	0	3	2	2	1	ENSG00000133627.17	ACTR3B
chr7:152814646-152816480	N_w	8	26	2	14	9	9	41	12	32	17	4	12	11	49	ENSG00000133627.17	ACTR3B
chr7:152816589-152820298	N_w	15	17	4	29	20	12	19	14	18	7	10	6	5	20	ENSG00000133627.17	ACTR3B
chr7:152820348-152823341	N_w	0	7	1	8	3	0	4	2	1	2	2	0	2	7	ENSG00000133627.17	ACTR3B
chr7:152820443-152823341	N_w	14	47	3	18	24	10	52	14	40	39	11	18	4	59	ENSG00000133627.17	ACTR3B
chr7:152823516-152825029	N_w	34	39	10	30	23	12	51	35	35	23	13	6	9	43	ENSG00000133627.17	ACTR3B
chr7:152825123-152826074	N_w	2	3	0	0	3	0	2	3	0	5	0	0	0	4	ENSG00000133627.17	ACTR3B
chr7:152825123-152842483	N_w	0	0	0	1	1	3	2	0	3	0	1	0	1	1	ENSG00000133627.17	ACTR3B
chr7:152825123-152852125	N_w	14	29	10	28	20	6	30	21	44	16	11	14	3	45	ENSG00000133627.17	ACTR3B
chr7:152845540-152845681	N_w	2	3	0	1	1	0	0	0	0	4	0	0	0	1	ENSG00000133627.17	ACTR3B
chr7:152852252-152853493	N_w	24	11	9	24	21	14	27	8	32	12	10	8	6	12	ENSG00000133627.17	ACTR3B
chr7:152853578-152854457	N_w	24	34	13	22	36	16	38	11	27	12	12	7	5	36	ENSG00000133627.17	ACTR3B
chr6:138424817-138429710	N_w	0	2	0	0	1	2	2	0	1	1	2	0	0	2	ENSG00000135540.11	NHSL1
chr6:138447194-138473305	N_w	0	4	1	2	0	1	2	0	0	0	1	0	0	2	ENSG00000135540.11	NHSL1
chr10:26748746-26751597	N_w	5	36	12	35	13	41	20	13	33	9	38	47	63	21	ENSG00000136754.16	ABI1
chr10:26751784-26755654	N_w	9	33	2	34	5	46	29	6	15	19	65	22	37	30	ENSG00000136754.16	ABI1
chr10:26751784-26759061	N_w	4	19	11	26	7	37	20	8	17	22	20	16	77	21	ENSG00000136754.16	ABI1
chr10:26751784-26763879	N_w	0	1	2	4	0	0	0	1	1	1	0	0	1	0	ENSG00000136754.16	ABI1
chr10:26751784-26765217	N_w	1	3	0	6	3	2	4	6	5	6	2	1	0	8	ENSG00000136754.16	ABI1
chr10:26755742-26759061	N_w	4	5	7	11	3	45	10	6	12	10	38	13	20	32	ENSG00000136754.16	ABI1
chr10:26759236-26765217	N_w	2	4	7	11	2	13	8	5	6	1	18	10	33	13	ENSG00000136754.16	ABI1
chr10:26759239-26765217	N_w	2	8	10	24	5	45	22	6	14	5	45	30	58	43	ENSG00000136754.16	ABI1
chr10:26765319-26768851	N_w	5	14	12	27	11	59	14	15	33	7	30	27	79	28	ENSG00000136754.16	ABI1
chr10:26768993-26770244	N_w	5	6	8	27	9	77	7	10	27	5	38	22	85	40	ENSG00000136754.16	ABI1
chr10:26770346-26771074	N_w	0	2	1	0	0	4	1	1	1	2	1	0	7	1	ENSG00000136754.16	ABI1
chr10:26770346-26777064	N_w	1	3	1	5	1	30	6	4	3	1	17	14	10	7	ENSG00000136754.16	ABI1
chr10:26771090-26777064	N_w	0	0	0	0	0	2	0	0	0	0	1	0	10	3	ENSG00000136754.16	ABI1
chr10:26777242-26823137	N_w	0	2	4	12	3	50	2	8	17	4	20	22	77	22	ENSG00000136754.16	ABI1
chr10:26823306-26860746	N_w	1	4	6	16	7	50	8	7	19	3	37	19	79	43	ENSG00000136754.16	ABI1
chr2:65227958-65239851	N_w	0	7	5	3	2	40	4	3	33	1	26	8	40	32	ENSG00000138071.13	ACTR2
chr2:65228297-65239851	N_w	2	2	0	0	1	0	1	3	7	2	0	0	0	5	ENSG00000138071.13	ACTR2
chr2:65235414-65239851	N_w	0	2	0	1	1	0	2	2	3	0	0	0	0	6	ENSG00000138071.13	ACTR2
chr2:65239963-65243845	N_w	0	4	0	0	0	0	1	1	2	2	0	0	0	1	ENSG00000138071.13	ACTR2
chr2:65239963-65246523	N_w	4	22	1	9	8	62	31	25	45	13	39	12	35	67	ENSG00000138071.13	ACTR2
chr2:65246740-65251026	N_w	12	24	6	24	10	89	33	24	50	4	43	16	68	76	ENSG00000138071.13	ACTR2
chr2:65251100-65253727	N_w	18	27	8	15	17	83	27	23	78	7	45	17	68	69	ENSG00000138071.13	ACTR2
chr2:65253865-65255544	N_w	14	73	8	24	19	79	60	27	72	43	44	14	74	121	ENSG00000138071.13	ACTR2
chr2:65255695-65261246	N_w	28	51	11	20	42	68	59	37	79	26	46	18	77	59	ENSG00000138071.13	ACTR2
chr2:65261393-65265042	N_w	55	148	14	41	48	109	126	55	90	73	55	27	65	96	ENSG00000138071.13	ACTR2
chr2:65265176-65268563	N_w	52	102	17	34	42	91	75	42	60	42	35	33	66	90	ENSG00000138071.13	ACTR2
chr2:203328632-203366876	N_w	16	37	3	13	30	34	46	32	41	16	9	10	35	101	ENSG00000138443.15	ABI2
chr2:203328632-203366880	N_w	0	0	0	0	2	2	4	1	2	0	1	1	0	1	ENSG00000138443.15	ABI2
chr2:203367045-203376056	N_w	1	1	0	0	5	1	2	4	4	2	0	0	0	5	ENSG00000138443.15	ABI2
chr2:203367045-203380207	N_w	13	23	5	9	19	17	39	33	46	18	10	8	15	32	ENSG00000138443.15	ABI2
chr2:203376133-203380207	N_w	0	3	0	2	1	2	4	4	5	1	0	0	1	3	ENSG00000138443.15	ABI2
chr2:203380385-203382188	N_w	5	4	1	4	8	0	17	14	11	5	0	0	0	11	ENSG00000138443.15	ABI2
chr2:203380385-203391045	N_w	7	56	4	15	21	31	78	26	36	44	11	11	28	108	ENSG00000138443.15	ABI2
chr2:203382207-203391045	N_w	6	4	1	5	10	0	14	15	12	5	0	0	0	13	ENSG00000138443.15	ABI2
chr2:203383322-203391045	N_w	0	3	0	1	0	1	4	1	4	0	1	0	1	3	ENSG00000138443.15	ABI2
chr2:203391144-203394699	N_w	25	136	21	47	48	44	122	79	78	89	19	15	50	157	ENSG00000138443.15	ABI2
chr2:203391144-203395655	N_w	2	13	4	4	1	1	3	2	7	5	1	1	3	6	ENSG00000138443.15	ABI2
chr2:203394847-203395655	N_w	36	134	23	39	57	44	152	68	102	117	22	20	50	102	ENSG00000138443.15	ABI2
chr2:203394847-203395658	N_w	5	10	2	3	5	2	8	8	6	14	1	0	6	18	ENSG00000138443.15	ABI2
chr2:203394847-203402575	N_w	3	10	2	1	2	3	5	6	4	10	1	0	0	5	ENSG00000138443.15	ABI2
chr2:203395781-203396784	N_w	4	5	1	8	2	0	6	2	8	10	0	0	2	9	ENSG00000138443.15	ABI2
chr2:203395781-203402575	N_w	28	65	9	20	35	35	59	47	36	65	12	11	33	78	ENSG00000138443.15	ABI2
chr2:203396968-203402575	N_w	2	19	2	8	1	0	13	1	8	12	0	0	5	29	ENSG00000138443.15	ABI2
chr2:203402735-203407883	N_w	3	3	0	0	1	2	4	3	5	1	0	0	0	0	ENSG00000138443.15	ABI2
chr2:203402735-203411284	N_w	29	79	11	19	43	20	83	55	43	37	7	9	23	42	ENSG00000138443.15	ABI2
chr2:203402735-203416907	N_w	54	97	13	25	29	20	64	41	37	71	9	8	28	69	ENSG00000138443.15	ABI2
