junction	type	ERR2598067	ERR2598068	ERR2598087	ERR2598088	ERR2598100	ERR2598101	ERR2598117	ERR2598118	ERR2598119	ERR2598134	ERR2598135	ERR2598136	ERR2598163	ERR2598179	ERR2598191	ERR2598192	ERR2598204	ERR2598205	ERR2598224	ERR2598225	ERR2598247	ERR2598248	ERR2598249	ERR2598264	ERR2598265	ERR2598276	ERR2598277	ERR2598278	ERR2598279	ERR2598286	ERR2598360	ERR2598361	ERR2598362	ERR2598363	ERR2598147	ERR2598223	ERR2598311	geneID	geneName
chr5:157361599-157382589	N_w	7	39	15	26	21	18	16	31	35	3	3	30	21	14	37	21	9	23	31	28	12	16	23	8	34	15	29	15	20	8	31	12	11	17	5	18	20	ENSG00000055163.19	CYFIP2
chr5:157382663-157383264	N_w	5	25	24	22	8	22	18	48	22	4	0	36	13	12	11	13	7	9	34	19	15	10	13	8	27	7	17	12	18	6	13	9	13	10	10	31	7	ENSG00000055163.19	CYFIP2
chr5:157383360-157389188	N_w	10	21	11	18	6	22	5	27	33	4	9	36	13	12	13	14	3	19	27	21	12	14	21	17	10	16	25	9	22	14	14	10	10	10	11	33	5	ENSG00000055163.19	CYFIP2
chr5:157389428-157390520	N_w	10	16	13	14	9	10	5	15	25	6	5	26	6	15	2	8	4	5	24	15	6	13	20	6	11	9	7	11	10	8	6	7	4	2	10	22	1	ENSG00000055163.19	CYFIP2
chr5:157389428-157392832	N_w	1	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	3	2	2	1	4	0	0	0	0	0	2	0	0	ENSG00000055163.19	CYFIP2
chr5:157390669-157392832	N_w	31	30	31	23	21	12	18	50	43	3	8	24	11	12	17	15	13	14	41	34	22	24	53	19	17	23	42	15	29	20	33	12	7	28	2	39	19	ENSG00000055163.19	CYFIP2
chr2:182925819-182926815	N_w	12	81	7	71	27	26	42	34	37	26	62	23	56	20	11	29	28	35	63	54	25	24	13	31	64	15	14	9	36	13	30	8	24	9	37	46	15	ENSG00000061676.14	NCKAP1
chr2:182926906-182928116	N_w	31	353	46	218	171	112	136	175	241	77	280	215	193	105	95	116	121	189	221	164	52	26	31	60	220	16	47	39	116	34	57	40	87	25	152	148	86	ENSG00000061676.14	NCKAP1
chr2:182928227-182928782	N_w	13	234	17	152	175	100	145	146	173	65	261	143	182	87	72	80	73	131	158	120	38	22	32	21	156	11	20	22	48	18	33	16	59	10	86	96	59	ENSG00000061676.14	NCKAP1
chr2:182928900-182930694	N_w	14	268	21	200	111	91	123	128	154	70	291	165	190	74	52	106	82	114	176	136	40	20	17	27	184	14	19	23	103	23	46	26	58	9	72	84	62	ENSG00000061676.14	NCKAP1
chr2:182930789-182934751	N_w	2	163	11	117	41	43	68	105	123	71	129	87	118	57	23	70	43	83	113	83	19	14	5	15	137	12	16	14	54	11	29	23	50	8	60	65	52	ENSG00000061676.14	NCKAP1
chr2:182934833-182935292	N_w	5	157	4	99	65	51	47	55	119	41	102	48	96	56	20	53	64	83	110	103	27	12	13	18	122	5	18	16	41	11	22	11	29	5	84	70	51	ENSG00000061676.14	NCKAP1
chr2:182935376-182942069	N_w	10	349	16	241	114	108	159	193	217	83	257	182	273	108	74	138	80	161	295	189	24	9	9	25	214	8	19	18	78	30	48	17	108	8	127	100	94	ENSG00000061676.14	NCKAP1
chr2:182942164-182952404	N_w	2	223	13	122	75	58	80	47	141	57	84	72	170	52	21	47	52	156	107	105	11	9	8	10	141	5	11	9	27	15	22	12	61	1	74	48	47	ENSG00000061676.14	NCKAP1
chr2:182952503-182952792	N_w	1	208	6	155	36	18	119	53	89	66	149	76	151	90	15	79	43	104	165	114	23	5	6	10	141	5	14	10	41	9	22	21	63	6	74	41	69	ENSG00000061676.14	NCKAP1
chr2:182952924-182953112	N_w	1	245	7	157	47	41	100	31	100	66	190	76	188	81	22	69	53	111	166	115	11	8	7	11	152	2	12	10	32	9	16	18	47	0	100	39	42	ENSG00000061676.14	NCKAP1
chr2:182953332-182956461	N_w	2	192	2	179	96	70	70	105	158	48	233	99	191	65	81	98	38	130	163	122	10	1	0	6	133	1	5	10	36	17	18	14	70	6	67	31	98	ENSG00000061676.14	NCKAP1
chr2:182956594-182957456	N_w	0	190	1	122	73	77	103	99	129	47	132	133	142	70	56	61	29	73	138	91	7	0	0	2	116	1	5	1	15	5	12	11	41	0	66	30	57	ENSG00000061676.14	NCKAP1
chr2:182957597-182962158	N_w	1	168	0	154	39	69	68	61	146	52	172	117	88	74	31	75	22	80	121	101	2	2	0	0	114	0	4	4	10	10	5	8	42	0	71	19	24	ENSG00000061676.14	NCKAP1
chr2:182962279-182964675	N_w	0	193	1	118	53	47	74	39	96	46	144	77	159	68	31	75	29	118	154	112	4	2	3	2	106	0	1	1	14	3	7	5	41	5	64	19	46	ENSG00000061676.14	NCKAP1
chr2:182964809-182967215	N_w	0	209	3	131	31	38	88	54	91	49	177	89	94	78	26	71	27	81	172	106	4	0	0	3	104	3	0	1	11	9	5	6	37	0	57	11	36	ENSG00000061676.14	NCKAP1
chr2:182967362-182976892	N_w	1	168	0	89	30	42	48	40	67	36	122	39	88	47	17	57	18	62	112	90	2	3	0	2	94	0	2	2	11	2	2	5	24	0	29	4	11	ENSG00000061676.14	NCKAP1
chr2:182976952-182978833	N_w	1	170	0	86	22	16	77	29	65	28	119	27	57	51	9	53	13	49	127	105	3	2	0	1	73	0	0	1	8	3	3	3	24	0	40	15	9	ENSG00000061676.14	NCKAP1
chr2:182978916-182981243	N_w	0	123	2	121	27	53	64	36	123	38	127	100	138	70	41	79	26	91	129	84	1	1	0	0	107	1	1	2	10	1	5	5	34	0	53	9	26	ENSG00000061676.14	NCKAP1
chr2:182981377-182982820	N_w	0	222	0	131	40	47	93	67	125	50	105	87	150	77	48	69	29	112	181	115	2	0	0	4	139	0	4	3	10	0	7	7	62	0	58	13	58	ENSG00000061676.14	NCKAP1
chr2:182982928-182983285	N_w	1	125	0	68	14	49	67	60	86	23	54	58	81	38	22	50	5	47	109	68	1	0	0	6	69	0	0	1	7	1	0	4	22	0	39	4	16	ENSG00000061676.14	NCKAP1
chr2:182983383-182986170	N_w	3	107	0	68	27	30	53	45	69	25	56	43	73	41	21	31	8	44	86	44	3	1	0	2	66	0	2	3	6	3	2	2	17	1	33	0	19	ENSG00000061676.14	NCKAP1
chr2:182986228-182989029	N_w	1	164	1	111	33	38	70	43	108	35	121	70	101	68	26	46	6	65	152	98	1	0	0	0	106	0	0	2	2	2	3	1	26	1	52	2	28	ENSG00000061676.14	NCKAP1
chr2:182989187-182994838	N_w	0	169	2	106	36	54	80	70	123	41	145	96	158	88	64	69	20	73	160	96	1	1	0	0	109	0	3	1	5	3	5	10	30	0	58	5	40	ENSG00000061676.14	NCKAP1
chr2:182994888-182995700	N_w	0	150	2	98	32	67	59	87	115	38	96	92	123	58	66	81	10	62	150	106	1	0	0	0	85	0	0	1	7	1	3	7	40	0	50	4	22	ENSG00000061676.14	NCKAP1
chr2:182994888-183001952	N_w	0	0	0	1	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	ENSG00000061676.14	NCKAP1
chr2:182995839-183001952	N_w	3	103	4	82	24	36	40	44	77	17	65	71	84	49	25	46	13	31	108	66	5	1	9	1	74	5	5	3	6	3	7	2	17	3	27	6	36	ENSG00000061676.14	NCKAP1
chr2:183002044-183002126	N_w	4	79	4	34	27	44	32	43	36	12	29	49	61	34	23	40	22	59	73	55	0	1	8	2	47	1	4	3	4	1	7	2	24	0	18	10	25	ENSG00000061676.14	NCKAP1
chr2:183002270-183002973	N_w	0	63	0	17	8	12	57	19	19	21	108	15	56	26	5	18	6	18	92	46	2	1	1	0	22	0	5	1	11	0	4	1	16	3	33	5	10	ENSG00000061676.14	NCKAP1
chr2:183003031-183003232	N_w	0	55	0	41	5	11	35	11	35	15	22	17	53	40	8	27	1	21	81	52	3	0	5	2	26	0	1	0	4	2	1	1	7	0	23	5	8	ENSG00000061676.14	NCKAP1
chr2:183003320-183023805	N_w	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	1	1	0	0	0	0	0	2	0	0	0	1	0	0	0	0	1	2	0	0	ENSG00000061676.14	NCKAP1
chr2:183003326-183023805	N_w	0	76	0	60	13	22	45	45	49	28	41	48	66	50	13	41	9	37	96	59	1	0	0	2	61	0	2	1	6	3	3	8	29	1	26	3	17	ENSG00000061676.14	NCKAP1
chr2:183023917-183037991	N_w	0	44	0	29	13	18	12	21	43	9	9	29	77	25	7	48	4	29	41	26	0	0	2	1	48	0	3	3	0	0	2	3	19	2	11	6	18	ENSG00000061676.14	NCKAP1
chr17:49210842-49216530	N_w	2	3	0	3	0	6	1	4	1	2	0	3	9	3	7	8	1	5	3	1	1	3	5	2	0	1	0	2	0	1	0	0	1	0	2	3	0	ENSG00000108798.8	ABI3
chr17:49216699-49217738	N_w	1	6	1	2	1	2	0	0	1	1	0	2	3	3	4	5	2	6	2	3	1	1	0	2	4	1	1	0	0	1	0	2	0	2	2	2	1	ENSG00000108798.8	ABI3
chr17:49217916-49219539	N_w	1	2	2	2	2	3	0	7	3	1	0	3	5	3	10	7	4	2	2	5	4	1	2	2	4	2	3	1	2	3	2	0	0	1	2	2	1	ENSG00000108798.8	ABI3
chr17:49219626-49219857	N_w	1	6	2	4	1	9	2	9	5	2	0	3	9	4	9	8	5	12	11	5	2	8	7	0	8	1	3	4	2	0	0	3	1	2	0	2	1	ENSG00000108798.8	ABI3
chr17:49219954-49220168	N_w	0	4	4	5	1	0	0	10	1	0	0	2	5	0	0	2	0	3	0	1	1	2	2	2	5	0	5	1	1	3	1	0	0	0	2	6	4	ENSG00000108798.8	ABI3
chr17:49220327-49222090	N_w	0	2	3	1	1	2	0	8	5	1	1	1	4	4	4	7	1	3	2	3	2	3	3	2	4	1	6	1	1	0	4	1	4	1	0	4	4	ENSG00000108798.8	ABI3
chr17:49222226-49222551	N_w	3	6	4	4	2	7	1	3	2	1	0	1	12	5	4	11	1	4	4	7	4	3	2	5	9	4	3	5	2	2	3	0	4	1	11	4	2	ENSG00000108798.8	ABI3
chr12:110435218-110436109	N_w	570	377	523	278	360	176	169	292	272	94	229	260	248	136	239	202	155	222	196	137	233	587	620	354	276	273	1117	248	578	192	671	205	134	625	154	404	316	ENSG00000111229.15	ARPC3
chr12:110436202-110436556	N_w	6	7	2	7	12	2	7	3	1	1	0	6	9	2	3	7	5	3	3	3	1	5	6	8	4	2	13	4	12	0	9	4	4	4	2	6	5	ENSG00000111229.15	ARPC3
chr12:110436205-110436556	N_w	557	543	656	399	497	211	240	457	341	144	303	343	349	178	216	361	235	280	286	210	239	557	500	397	362	290	1189	276	787	221	749	305	225	625	188	446	365	ENSG00000111229.15	ARPC3
chr12:110436205-110436664	N_w	10	3	1	1	1	0	2	2	1	2	0	3	1	0	0	0	0	1	1	2	2	7	1	0	3	1	8	2	9	9	10	7	3	10	1	4	6	ENSG00000111229.15	ARPC3
chr12:110436205-110437083	N_w	7	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	16	0	8	9	0	3	0	23	0	2	1	0	2	0	12	0	0	6	0	1	0	ENSG00000111229.15	ARPC3
chr12:110436230-110436556	N_w	2	3	1	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	1	0	0	1	0	0	1	0	0	0	ENSG00000111229.15	ARPC3
chr12:110436684-110437083	N_w	486	593	468	366	341	127	300	326	253	130	314	207	300	196	161	301	201	252	298	236	221	463	393	357	360	192	564	226	586	197	446	229	219	319	206	462	360	ENSG00000111229.15	ARPC3
chr12:110437153-110440311	N_w	172	276	192	145	162	78	134	173	97	58	72	101	109	73	87	109	101	108	125	109	109	142	154	171	160	72	198	80	210	75	152	87	86	98	108	214	147	ENSG00000111229.15	ARPC3
chr12:110437153-110445451	N_w	0	2	1	1	2	0	1	6	2	0	0	0	4	1	0	2	0	2	1	0	0	0	0	1	0	1	2	0	2	1	1	1	0	0	0	1	1	ENSG00000111229.15	ARPC3
chr12:110440389-110445451	N_w	269	545	279	333	309	233	157	387	297	109	209	271	327	144	177	243	172	174	212	179	169	261	254	209	338	130	294	166	473	162	220	188	162	138	100	331	220	ENSG00000111229.15	ARPC3
chr12:110443068-110445451	N_w	1	0	1	0	2	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	2	0	1	0	1	4	0	1	0	0	2	2	0	0	1	0	ENSG00000111229.15	ARPC3
chr12:110445552-110450254	N_w	96	154	91	119	185	113	65	138	116	49	50	123	253	51	63	215	32	82	80	59	29	120	38	27	132	56	195	87	212	80	161	111	57	104	29	66	109	ENSG00000111229.15	ARPC3
chr6:110100680-110101587	N_w	28	134	34	96	74	42	46	67	118	13	9	79	45	123	128	171	80	98	120	89	37	52	35	27	92	303	741	74	130	324	484	327	313	293	32	96	412	ENSG00000112290.12	WASF1
chr6:110101678-110103377	N_w	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	0	0	1	1	0	0	4	0	0	1	ENSG00000112290.12	WASF1
chr6:110101720-110103377	N_w	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	1	2	2	1	3	6	0	0	1	ENSG00000112290.12	WASF1
chr6:110102217-110103377	N_w	2	77	5	51	50	46	28	51	67	13	39	56	24	80	82	102	36	70	75	47	16	10	12	8	54	46	236	16	48	152	139	102	146	93	12	32	294	ENSG00000112290.12	WASF1
chr6:110103558-110105406	N_w	4	65	2	51	22	28	20	64	57	9	38	45	22	58	55	102	35	56	60	60	16	5	1	8	57	31	108	9	28	92	95	83	162	27	10	35	162	ENSG00000112290.12	WASF1
chr6:110103558-110107076	N_w	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	1	1	0	0	2	0	0	0	0	0	7	6	2	2	4	7	13	5	1	0	0	5	ENSG00000112290.12	WASF1
chr6:110105577-110107076	N_w	0	6	0	6	7	4	1	6	6	0	13	3	7	9	6	9	5	14	12	17	0	2	1	0	2	5	17	2	4	17	12	14	25	6	2	3	15	ENSG00000112290.12	WASF1
chr6:110105580-110107076	N_w	4	104	5	73	34	36	16	71	57	13	54	55	31	90	74	98	38	92	85	64	7	4	7	10	59	30	137	13	29	94	137	107	204	43	9	33	242	ENSG00000112290.12	WASF1
chr6:110107195-110108527	N_w	0	50	7	31	15	30	25	22	24	7	5	20	19	48	22	58	28	46	60	53	5	0	9	1	37	18	35	7	15	45	55	70	103	15	4	27	114	ENSG00000112290.12	WASF1
chr6:110108682-110113325	N_w	1	89	1	54	25	20	24	35	26	6	5	33	32	70	21	89	26	96	81	76	8	1	3	3	48	20	90	16	17	72	91	116	172	28	15	16	273	ENSG00000112290.12	WASF1
chr6:110111382-110113325	N_w	0	1	0	0	0	0	1	0	0	1	20	0	0	1	1	4	1	1	1	1	0	0	0	0	1	18	21	3	5	16	9	10	5	7	0	0	4	ENSG00000112290.12	WASF1
chr6:110113461-110125382	N_w	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	3	1	0	3	5	3	10	1	0	0	1	ENSG00000112290.12	WASF1
chr6:110113461-110127468	N_w	0	74	0	41	27	32	33	34	26	9	47	30	42	78	52	72	43	83	95	77	6	3	3	4	45	25	50	4	26	93	63	48	168	16	24	28	141	ENSG00000112290.12	WASF1
chr6:110125495-110127468	N_w	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	10	0	0	5	12	5	9	4	0	0	14	ENSG00000112290.12	WASF1
chr6:110127630-110160634	N_w	0	6	0	6	1	1	9	5	10	0	8	1	5	6	8	6	3	7	9	4	3	0	0	2	6	9	28	2	7	40	14	49	42	9	2	0	45	ENSG00000112290.12	WASF1
chr6:110127630-110178597	N_w	0	6	0	3	2	0	2	4	3	0	9	0	0	6	3	6	0	5	10	6	0	0	0	0	3	0	0	0	0	0	0	4	6	0	0	2	5	ENSG00000112290.12	WASF1
chr6:110127630-110179438	N_w	0	23	0	7	20	8	4	9	15	0	0	15	3	19	7	19	18	14	7	12	2	0	0	0	15	0	2	0	0	2	0	0	12	0	3	14	11	ENSG00000112290.12	WASF1
chr6:110160733-110177146	N_w	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	4	0	1	0	0	0	0	0	0	0	0	4	0	1	3	5	3	5	1	0	0	4	ENSG00000112290.12	WASF1
chr6:110160733-110178597	N_w	0	3	0	1	0	0	1	4	1	0	0	0	2	5	0	3	1	3	4	4	0	0	0	2	5	6	6	3	3	11	3	13	19	0	2	0	14	ENSG00000112290.12	WASF1
chr6:110160733-110179438	N_w	0	4	0	2	5	1	2	0	2	0	0	2	0	3	0	1	0	1	2	0	0	0	0	0	1	0	5	0	2	14	10	8	15	2	0	0	22	ENSG00000112290.12	WASF1
chr6:110177187-110178597	N_w	0	1	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	4	4	0	1	3	3	10	3	2	0	0	2	ENSG00000112290.12	WASF1
chr6:110177804-110178597	N_w	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	1	4	0	1	1	4	3	2	1	0	0	2	ENSG00000112290.12	WASF1
chr6:110178743-110179438	N_w	0	6	0	6	0	3	4	4	5	0	0	0	2	2	1	4	1	1	10	0	0	0	2	0	5	6	5	1	2	7	7	5	8	3	0	0	29	ENSG00000112290.12	WASF1
chr6:110178743-110179840	N_w	0	4	0	0	1	1	1	3	2	0	0	2	2	1	4	4	0	3	2	1	0	0	0	0	1	1	4	0	0	3	1	5	4	0	0	1	4	ENSG00000112290.12	WASF1
chr2:113890324-113913171	N_w	0	101	0	72	54	43	20	63	79	13	7	72	63	37	41	76	27	57	69	41	7	1	0	5	76	2	9	2	14	18	11	7	41	3	16	13	82	ENSG00000115091.11	ACTR3
chr2:113890779-113913171	N_w	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	3	0	0	0	0	0	1	1	5	2	1	5	9	5	25	1	0	0	35	ENSG00000115091.11	ACTR3
chr2:113913228-113916883	N_w	1	154	1	90	34	50	30	69	104	14	27	84	69	66	36	84	24	59	86	75	9	0	1	5	112	6	17	7	25	22	18	20	79	6	23	27	104	ENSG00000115091.11	ACTR3
chr2:113913228-113927344	N_w	0	2	0	0	2	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	ENSG00000115091.11	ACTR3
chr2:113917009-113927344	N_w	5	219	4	129	106	72	60	122	143	51	46	120	124	80	95	131	30	93	138	117	14	4	7	5	135	11	38	12	47	44	76	58	119	25	51	37	258	ENSG00000115091.11	ACTR3
chr2:113927456-113931300	N_w	3	265	7	199	123	87	96	136	166	49	98	123	144	93	110	133	63	158	179	127	24	9	9	13	187	15	55	10	52	53	107	80	154	25	60	43	308	ENSG00000115091.11	ACTR3
chr2:113930790-113931300	N_w	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0	3	2	ENSG00000115091.11	ACTR3
chr2:113931397-113934157	N_w	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	8	1	1	3	9	6	5	6	0	0	10	ENSG00000115091.11	ACTR3
chr2:113931397-113934278	N_w	4	305	11	165	120	94	86	128	169	49	138	141	146	108	86	137	52	172	178	139	14	15	5	10	175	15	42	12	37	33	69	52	136	10	67	82	124	ENSG00000115091.11	ACTR3
chr2:113934387-113939958	N_w	1	190	9	121	30	78	56	113	139	38	52	133	50	84	63	104	40	62	145	111	18	4	14	10	148	20	39	6	28	43	68	49	75	13	44	74	110	ENSG00000115091.11	ACTR3
chr2:113940103-113942185	N_w	11	261	10	189	161	105	111	120	167	53	148	173	189	92	167	130	65	152	185	119	23	18	9	24	206	31	95	23	74	79	161	101	157	42	79	66	257	ENSG00000115091.11	ACTR3
chr2:113942360-113951478	N_w	17	295	12	199	40	36	97	51	82	79	161	78	119	87	39	100	72	135	202	115	34	23	24	29	170	38	66	21	57	66	75	80	113	17	84	90	79	ENSG00000115091.11	ACTR3
chr2:113951572-113951719	N_w	8	224	15	127	181	80	61	102	126	50	128	101	89	82	74	95	35	89	98	108	32	15	13	28	132	39	145	20	46	40	147	61	78	113	67	87	228	ENSG00000115091.11	ACTR3
chr2:113951846-113955622	N_w	21	295	50	214	130	104	106	192	183	58	114	144	96	108	96	141	81	126	162	109	55	23	48	38	177	61	148	34	75	70	166	92	152	62	71	128	262	ENSG00000115091.11	ACTR3
chr2:113955707-113957359	N_w	37	441	82	318	374	151	172	266	364	115	280	339	266	179	242	254	139	266	282	185	84	60	76	81	373	125	316	64	179	201	373	208	238	142	123	187	465	ENSG00000115091.11	ACTR3
chr12:54497892-54499354	N_w	0	0	0	2	0	1	0	0	1	1	3	2	0	3	1	3	1	3	2	0	0	0	0	0	2	0	0	0	0	0	0	2	1	0	1	0	3	ENSG00000123338.12	NCKAP1L
chr12:54499466-54500532	N_w	0	3	0	1	0	0	0	0	2	4	0	1	0	0	3	3	0	1	3	0	0	0	0	0	3	0	0	0	1	0	1	0	1	0	1	0	5	ENSG00000123338.12	NCKAP1L
chr12:54500626-54507852	N_w	0	2	0	3	0	1	0	0	2	0	3	5	1	0	0	1	0	1	3	2	0	0	0	0	3	0	0	0	1	1	0	0	1	2	4	2	1	ENSG00000123338.12	NCKAP1L
