junction	type	2a9ed6f1-3f93-43cf-9e47-6690781e1009	d512d7d6-0f5f-484c-a4eb-20fcce53643a	f69372c0-9da5-469c-ba81-e5b3da5e605c	199a14f5-6ff1-4d6e-b043-06061511915f	b178a8cb-b28c-4fed-a8ae-d4e37ae39261	842f6668-669f-4e7d-89f6-f6da627297b8	ad36d45c-5bd4-4c14-87b7-eb57dc110ac7	a72b96c5-2ece-463e-a6cc-4598901a9bef	42a0ffc5-0804-4b82-9c18-50df23f21cf9	81148a24-a1bf-45ae-a0bb-709cccd728fd	8a72416e-242b-4482-921e-88fdae3c17ff	f53a9c63-1af7-4cbc-b8b7-4aa7aaed3364	dc2086bf-e50b-49fb-b31e-93b4fdc540fb	9a2c9224-ec66-4560-b909-08144c67e00d	7ad22869-92c5-43d5-b334-9781a311cb2e	454383cb-3cb3-4b8c-8078-a2ec27139d33	0141f9ca-a8a1-4ea4-b194-6c3afb943253	3551ea04-99f5-4748-8304-6a63e77ae756	fdbd24ed-a293-4f84-a418-8ab531750e9a	1f1c74d9-86f3-49ea-bb26-2c09efecc4a2	479dca62-5053-4919-9d21-695298aa76b4	37b29806-fbd6-432f-9a47-ce72bee3a5bb	9a756d11-4f93-4a52-9755-c338b21ccdca	d27541fa-68eb-4066-a6b8-6abd49575fe1	cc4c52a7-57d4-4959-abfb-8ed3b1ba4ded	e08283ca-68e0-4171-b8b9-51aee0b1e0ef	8ff6b0ab-c03c-4a06-a851-ebb4b0ffb769	1d6b448c-1d01-4a8c-8417-b094ec2d562e	e959e8bd-d13c-43c2-840b-8e19211eb643	0a858ad7-1c4a-41a0-9747-97c108cb074e	b8de7c7f-5de1-45b9-948d-cf5df3850551	6f54f9c0-5687-4a07-bf75-b506752b4a52	8c3b9672-d44c-4df4-9912-47f93f0a5c58	cef2bdb2-017f-4e90-94b3-45a91ac9fb6c	bc005778-f88d-47b7-8e04-ceb9750f00c2	3d648fd2-3148-478b-a74c-0016a04cdbe5	1ef1159e-ddaa-4673-8115-d8f356e51ff8	geneID	geneName
chr5:157307866-157309742	N_w	6	18	36	35	8	8	14	13	8	9	1	9	3	3	4	5	5	21	10	20	0	5	19	23	8	0	2	18	12	17	15	0	7	73	6	30	1	ENSG00000055163.19	CYFIP2
chr5:157309835-157311663	N_w	14	28	54	39	4	8	29	22	6	15	2	7	7	5	7	7	4	43	17	23	0	6	22	18	10	0	2	22	15	19	13	0	8	107	14	31	2	ENSG00000055163.19	CYFIP2
chr5:157311782-157314343	N_w	13	21	42	35	1	16	18	10	15	22	0	8	7	3	4	6	11	41	16	24	1	12	22	28	7	2	4	11	13	16	16	0	9	95	9	40	5	ENSG00000055163.19	CYFIP2
chr5:157314464-157314968	N_w	9	18	45	58	2	10	28	23	18	28	0	15	7	3	8	1	4	38	8	28	0	9	33	23	4	1	11	22	17	17	15	0	12	99	12	45	6	ENSG00000055163.19	CYFIP2
chr5:157315095-157319761	N_w	16	31	76	73	4	22	27	25	15	23	0	10	7	1	9	3	14	42	11	25	0	15	24	51	10	0	6	37	24	34	18	0	14	120	11	57	2	ENSG00000055163.19	CYFIP2
chr5:157319929-157320654	N_w	12	13	35	55	1	18	25	28	24	9	0	4	8	4	6	7	6	50	8	27	5	13	25	45	12	1	4	46	32	27	8	0	10	57	16	43	5	ENSG00000055163.19	CYFIP2
chr5:157320803-157323920	N_w	8	17	53	40	1	20	36	28	24	26	1	5	7	10	8	2	12	37	9	23	1	8	17	38	5	2	7	30	28	31	15	0	15	120	21	36	4	ENSG00000055163.19	CYFIP2
chr5:157324075-157325481	N_w	10	17	43	56	15	20	28	21	17	21	1	7	6	12	10	4	3	36	17	45	2	13	49	27	7	1	12	46	29	52	22	0	20	150	22	69	4	ENSG00000055163.19	CYFIP2
chr5:157325639-157326170	N_w	21	33	62	90	16	21	44	36	15	26	0	17	5	4	13	10	8	63	27	42	2	7	35	49	10	2	9	44	24	48	18	1	14	147	20	86	1	ENSG00000055163.19	CYFIP2
chr5:157326268-157327972	N_w	10	21	47	48	12	13	12	14	13	7	0	10	1	2	5	3	10	44	12	22	4	3	26	26	7	1	0	24	23	32	2	0	12	110	11	35	5	ENSG00000055163.19	CYFIP2
chr5:157328050-157330741	N_w	21	26	66	83	12	26	37	32	11	25	0	9	4	1	8	10	14	55	23	65	2	15	30	46	6	5	13	56	27	49	18	1	20	151	12	88	5	ENSG00000055163.19	CYFIP2
chr5:157330851-157333326	N_w	21	27	46	80	8	31	36	36	11	29	0	15	9	6	3	8	18	72	20	44	3	21	32	39	8	0	9	62	26	32	23	2	13	156	25	59	7	ENSG00000055163.19	CYFIP2
chr5:157333447-157339056	N_w	15	24	122	58	7	35	37	32	15	20	1	9	5	7	5	10	21	44	14	47	4	38	37	84	16	1	16	66	28	40	22	2	8	125	24	121	5	ENSG00000055163.19	CYFIP2
chr5:157339257-157341069	N_w	20	29	73	77	9	25	34	27	25	30	0	22	2	12	20	10	29	80	50	56	4	27	40	57	11	4	21	64	61	63	20	0	25	199	22	112	5	ENSG00000055163.19	CYFIP2
chr5:157341158-157359004	N_w	31	16	96	85	11	37	39	30	30	38	0	11	18	8	16	10	31	38	51	45	4	23	48	85	14	8	13	61	56	82	16	1	30	172	21	123	9	ENSG00000055163.19	CYFIP2
chr5:157359149-157360281	N_w	20	21	82	71	3	23	45	28	20	28	0	14	5	8	11	7	28	68	42	52	4	26	34	44	3	1	12	50	53	51	20	3	19	160	26	92	8	ENSG00000055163.19	CYFIP2
chr5:157360373-157361467	N_w	18	28	105	90	11	23	51	31	36	64	0	24	7	11	18	13	31	84	46	61	4	54	39	58	14	8	15	43	63	70	16	2	29	184	22	113	13	ENSG00000055163.19	CYFIP2
chr5:157360623-157361467	N_w	0	0	1	0	0	0	0	0	1	2	0	1	0	0	1	2	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	1	0	0	0	ENSG00000055163.19	CYFIP2
chr5:157361599-157382589	N_w	20	16	90	41	5	19	35	17	19	28	0	11	4	4	7	6	12	51	24	23	0	42	28	56	10	0	20	25	45	37	21	1	13	127	16	113	7	ENSG00000055163.19	CYFIP2
chr5:157382663-157383264	N_w	26	29	75	80	6	33	45	34	18	31	0	13	4	11	17	19	21	59	33	32	3	29	43	58	8	3	22	53	61	80	19	1	19	162	20	123	9	ENSG00000055163.19	CYFIP2
chr5:157383360-157389188	N_w	22	24	84	85	10	34	40	26	20	41	0	8	3	11	8	9	22	57	45	33	2	41	44	71	18	4	32	45	58	62	13	5	18	112	27	161	7	ENSG00000055163.19	CYFIP2
chr5:157389428-157390520	N_w	30	31	102	86	9	37	43	33	22	65	3	12	8	17	20	12	20	72	53	51	4	62	41	67	21	10	31	54	45	81	14	8	26	155	41	152	11	ENSG00000055163.19	CYFIP2
chr5:157389428-157392832	N_w	2	0	1	1	0	1	2	0	0	0	0	0	0	1	1	1	1	0	0	2	0	0	3	1	1	0	0	0	0	2	0	0	1	0	0	0	1	ENSG00000055163.19	CYFIP2
chr5:157390669-157392832	N_w	50	41	112	126	18	53	64	48	38	102	3	28	8	32	16	21	62	79	72	69	7	84	60	83	22	20	28	74	85	111	28	11	44	248	68	159	7	ENSG00000055163.19	CYFIP2
chr2:182925819-182926815	N_w	181	146	141	223	112	253	111	231	319	205	98	41	295	175	113	82	205	149	144	193	149	99	220	174	135	126	61	153	226	177	175	48	247	271	267	97	188	ENSG00000061676.14	NCKAP1
chr2:182926906-182928116	N_w	267	299	228	359	178	502	201	513	432	396	121	385	550	248	223	183	458	320	274	367	288	173	499	317	224	340	97	278	367	411	353	95	349	616	676	214	376	ENSG00000061676.14	NCKAP1
chr2:182928227-182928782	N_w	175	224	184	278	160	342	193	393	336	294	95	277	432	117	151	129	265	257	180	258	195	111	327	195	146	220	63	205	247	229	270	43	262	394	470	211	268	ENSG00000061676.14	NCKAP1
chr2:182928900-182930694	N_w	261	247	210	295	161	361	166	380	403	311	92	284	412	175	179	129	267	225	161	268	232	121	310	245	217	228	75	220	260	260	325	42	295	479	453	163	317	ENSG00000061676.14	NCKAP1
chr2:182930789-182934751	N_w	136	162	103	211	119	204	100	284	236	164	52	200	311	75	90	79	161	188	118	213	129	37	200	115	70	107	36	102	189	159	175	26	165	272	297	76	203	ENSG00000061676.14	NCKAP1
chr2:182934833-182935292	N_w	80	94	48	77	43	232	51	115	86	71	18	107	109	45	83	55	69	118	49	77	119	38	149	88	23	35	15	135	116	106	95	44	67	207	119	19	155	ENSG00000061676.14	NCKAP1
chr2:182935376-182942069	N_w	219	227	144	366	195	374	142	354	364	298	45	223	439	158	178	120	162	238	145	322	220	58	290	199	136	153	45	194	234	259	275	27	287	387	341	128	291	ENSG00000061676.14	NCKAP1
chr2:182942164-182952404	N_w	130	117	112	184	79	171	59	214	210	127	33	145	250	54	78	44	79	114	71	122	87	28	153	120	91	84	33	83	104	120	184	8	150	193	176	92	148	ENSG00000061676.14	NCKAP1
chr2:182952503-182952792	N_w	226	269	146	293	175	371	195	480	305	264	71	272	432	154	149	135	263	277	137	323	227	56	367	201	150	162	56	205	209	265	317	26	234	503	417	92	263	ENSG00000061676.14	NCKAP1
chr2:182952924-182953112	N_w	141	165	101	254	126	211	125	313	278	242	50	209	376	93	105	104	173	192	94	252	136	41	231	134	120	85	38	150	176	159	279	9	227	311	278	80	200	ENSG00000061676.14	NCKAP1
chr2:182952924-182956461	N_w	0	0	2	1	0	0	0	2	0	0	0	2	3	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	2	2	0	0	4	1	0	1	ENSG00000061676.14	NCKAP1
chr2:182953332-182956461	N_w	198	234	139	270	144	250	124	335	307	192	37	303	368	77	99	94	149	217	100	294	149	45	221	145	120	110	34	190	151	183	290	11	239	348	294	75	235	ENSG00000061676.14	NCKAP1
chr2:182956594-182957456	N_w	158	218	173	203	138	291	117	401	307	223	26	248	433	73	100	99	122	208	96	265	176	55	272	204	129	79	40	201	165	153	277	17	221	339	303	79	228	ENSG00000061676.14	NCKAP1
chr2:182957597-182962158	N_w	156	245	135	214	161	249	157	407	248	164	26	225	432	72	125	88	132	258	85	283	147	41	255	171	122	80	24	197	145	165	260	8	206	354	283	64	234	ENSG00000061676.14	NCKAP1
chr2:182962279-182964675	N_w	118	196	100	194	108	247	107	310	188	142	24	154	304	60	88	66	106	211	56	218	133	32	188	122	85	49	23	161	96	110	220	11	152	298	234	51	172	ENSG00000061676.14	NCKAP1
chr2:182964809-182967215	N_w	168	226	130	232	195	233	132	336	252	177	33	169	456	65	120	91	125	184	79	285	125	30	197	168	123	86	33	169	122	151	296	10	196	396	284	80	245	ENSG00000061676.14	NCKAP1
chr2:182964809-182976892	N_w	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	1	1	0	1	ENSG00000061676.14	NCKAP1
chr2:182967322-182978833	N_w	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	2	0	0	1	0	0	0	0	0	0	0	1	2	0	0	ENSG00000061676.14	NCKAP1
chr2:182967362-182976892	N_w	83	122	57	113	125	147	68	216	170	96	13	90	248	32	57	44	56	129	41	159	100	14	140	97	57	27	16	87	79	83	181	1	113	211	148	20	163	ENSG00000061676.14	NCKAP1
chr2:182976952-182978833	N_w	97	181	79	199	110	207	72	175	182	116	15	72	196	33	66	36	33	130	26	180	99	18	131	90	71	34	22	97	71	77	138	3	124	174	96	25	166	ENSG00000061676.14	NCKAP1
chr2:182978916-182981243	N_w	174	214	101	240	203	213	125	339	250	157	15	199	393	39	82	74	90	211	57	252	104	21	191	116	84	63	21	136	120	123	253	5	176	338	220	46	191	ENSG00000061676.14	NCKAP1
chr2:182981377-182982820	N_w	123	209	101	198	133	178	90	227	326	151	26	194	372	47	76	60	74	162	37	232	90	32	138	112	118	60	20	152	103	91	259	4	164	276	173	56	179	ENSG00000061676.14	NCKAP1
chr2:182982928-182983285	N_w	100	185	77	152	100	170	96	192	205	98	21	152	297	37	57	60	51	156	44	193	69	23	135	75	71	37	25	114	78	87	159	3	131	214	130	55	171	ENSG00000061676.14	NCKAP1
chr2:182983383-182986170	N_w	153	152	119	159	92	211	104	229	259	130	13	230	313	52	81	64	62	190	49	211	124	28	157	119	130	48	20	177	85	86	250	3	170	273	171	49	186	ENSG00000061676.14	NCKAP1
chr2:182986228-182989029	N_w	114	202	75	149	84	163	82	227	209	113	20	169	294	43	54	62	71	127	37	207	104	14	128	79	80	35	17	119	85	90	208	7	140	255	151	44	165	ENSG00000061676.14	NCKAP1
chr2:182989187-182994838	N_w	84	171	60	143	103	154	94	233	145	118	12	190	303	22	67	68	51	148	31	163	87	13	145	88	76	31	7	125	72	61	201	2	96	209	147	38	146	ENSG00000061676.14	NCKAP1
chr2:182994888-182995700	N_w	120	221	96	191	158	236	138	333	218	109	4	188	401	48	70	75	62	249	40	249	145	21	228	111	111	55	20	200	101	100	287	2	174	302	201	50	204	ENSG00000061676.14	NCKAP1
chr2:182995839-183001952	N_w	41	113	55	73	89	172	94	170	102	45	6	126	203	32	51	58	38	139	18	105	81	6	108	58	50	25	7	101	68	54	143	2	85	137	117	17	107	ENSG00000061676.14	NCKAP1
chr2:183002044-183002126	N_w	98	122	57	112	110	150	91	203	149	81	12	217	271	19	54	52	46	121	30	186	80	19	157	82	69	50	11	136	70	71	212	0	75	177	122	26	138	ENSG00000061676.14	NCKAP1
chr2:183002270-183002973	N_w	43	89	45	83	51	62	47	106	115	60	2	61	147	20	34	37	28	48	7	78	51	10	62	57	49	19	7	72	19	46	108	1	51	101	69	19	71	ENSG00000061676.14	NCKAP1
chr2:183003031-183003232	N_w	50	75	37	86	54	106	32	89	135	82	4	56	152	9	35	35	20	66	6	118	51	6	57	68	51	9	7	62	44	25	102	0	82	103	54	9	79	ENSG00000061676.14	NCKAP1
chr2:183003320-183023805	N_w	0	2	0	31	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	2	1	0	2	0	0	0	0	0	0	0	3	0	0	1	0	0	0	ENSG00000061676.14	NCKAP1
chr2:183003326-183023805	N_w	69	125	65	88	69	168	79	156	132	50	7	81	178	24	40	36	28	121	17	144	89	24	101	70	66	19	6	134	52	44	101	0	86	131	106	21	126	ENSG00000061676.14	NCKAP1
chr2:183023917-183024977	N_w	0	0	0	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	ENSG00000061676.14	NCKAP1
chr2:183023917-183037991	N_w	39	89	68	48	47	125	40	126	117	41	4	95	149	11	33	32	9	84	15	88	64	15	75	65	77	15	5	116	30	25	97	2	60	93	78	32	69	ENSG00000061676.14	NCKAP1
chr2:183024996-183037991	N_w	0	0	0	36	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	ENSG00000061676.14	NCKAP1
chr17:49210842-49216530	N_w	0	28	46	12	8	12	15	21	28	51	6	21	22	36	17	8	7	11	8	16	19	39	6	29	41	7	9	52	6	23	14	15	15	7	21	31	8	ENSG00000108798.8	ABI3
chr17:49216681-49217738	N_w	0	0	1	1	0	0	0	0	1	1	0	0	1	1	2	0	0	0	0	0	1	1	0	0	1	0	0	1	0	0	0	0	2	0	0	2	0	ENSG00000108798.8	ABI3
chr17:49216699-49217738	N_w	5	28	46	13	5	11	13	17	12	20	7	18	18	22	17	12	4	8	8	11	20	37	17	37	46	7	9	51	5	33	12	10	10	8	18	22	21	ENSG00000108798.8	ABI3
chr17:49217916-49219539	N_w	3	31	38	22	1	10	16	15	18	43	3	21	20	24	28	12	6	12	21	4	14	28	18	20	47	16	17	55	7	45	6	22	7	9	22	16	23	ENSG00000108798.8	ABI3
chr17:49219626-49219857	N_w	4	31	88	14	8	14	20	30	17	25	6	27	24	44	39	18	9	18	39	15	44	53	23	62	57	17	28	59	18	73	30	19	8	6	20	33	14	ENSG00000108798.8	ABI3
chr17:49219954-49220168	N_w	5	10	39	7	0	9	10	9	0	0	2	11	9	16	13	4	6	9	17	7	18	33	7	23	24	5	15	24	5	22	9	12	1	1	7	20	2	ENSG00000108798.8	ABI3
chr17:49219954-49220171	N_w	0	1	2	0	1	1	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	4	0	0	0	0	1	2	0	1	1	0	0	0	1	2	1	ENSG00000108798.8	ABI3
chr17:49220327-49222069	N_w	0	0	4	1	0	0	0	1	2	0	0	1	2	3	2	0	1	0	3	0	0	2	0	1	1	0	0	1	0	2	1	0	1	1	1	1	1	ENSG00000108798.8	ABI3
chr17:49220327-49222090	N_w	6	24	40	14	2	8	12	19	20	24	2	17	20	27	14	13	7	6	22	12	23	45	12	37	36	11	28	36	6	34	11	16	15	7	13	26	8	ENSG00000108798.8	ABI3
chr17:49222226-49222551	N_w	6	40	49	26	7	18	17	32	34	46	14	28	32	27	23	17	20	12	31	16	31	64	22	48	30	21	24	56	15	50	24	27	28	13	29	43	17	ENSG00000108798.8	ABI3
chr12:110435218-110436109	N_w	6	24	4	55	19	13	20	29	32	36	3	55	28	13	38	36	69	22	43	26	15	14	45	8	5	45	2	7	35	36	27	17	31	33	64	4	49	ENSG00000111229.15	ARPC3
chr12:110436202-110436556	N_w	6	4	4	11	6	4	16	15	7	11	7	28	8	6	4	10	17	4	13	7	11	5	18	7	6	22	2	4	11	9	4	5	9	7	43	8	12	ENSG00000111229.15	ARPC3
chr12:110436205-110436556	N_w	0	2	0	17	84	8	1	3	4	7	0	2	5	1	5	2	7	3	3	1	7	7	2	2	7	6	0	1	3	3	4	9	3	12	3	3	3	ENSG00000111229.15	ARPC3
chr12:110436205-110436664	N_w	0	2	0	4	2	5	1	3	1	3	5	4	1	4	2	5	5	1	6	5	2	2	0	1	0	7	0	0	2	5	2	0	5	4	2	2	1	ENSG00000111229.15	ARPC3
chr12:110436205-110437083	N_w	0	0	0	0	0	0	1	0	4	20	0	0	0	0	0	0	0	0	0	0	3	2	0	0	0	0	0	0	0	1	2	0	0	0	1	0	0	ENSG00000111229.15	ARPC3
chr12:110436684-110437083	N_w	285	388	443	1344	505	345	440	872	777	890	244	854	639	444	818	516	1166	318	702	454	836	592	705	673	496	929	265	431	579	770	605	683	696	670	1049	531	733	ENSG00000111229.15	ARPC3
chr12:110437153-110440311	N_w	0	4	2	11	0	3	5	4	2	2	1	1	2	0	1	1	3	1	7	1	4	5	2	3	1	4	1	4	2	0	2	2	2	4	6	2	0	ENSG00000111229.15	ARPC3
chr12:110437153-110445451	N_w	1	0	2	2	4	3	1	3	2	3	1	1	3	1	2	5	4	2	2	2	2	1	2	3	2	1	1	1	2	0	0	1	2	0	0	1	0	ENSG00000111229.15	ARPC3
chr12:110437153-110450254	N_w	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	1	0	2	0	0	0	2	0	0	0	0	1	1	0	1	0	0	ENSG00000111229.15	ARPC3
chr12:110440389-110445451	N_w	51	97	61	268	123	27	137	203	199	241	29	264	188	51	155	79	193	69	135	108	102	105	132	82	63	196	38	38	93	127	128	56	206	138	215	72	156	ENSG00000111229.15	ARPC3
chr12:110443068-110445451	N_w	1	3	3	0	0	4	2	1	1	1	1	1	2	3	1	1	2	2	1	0	4	3	2	0	1	1	0	3	0	3	1	7	1	2	2	1	3	ENSG00000111229.15	ARPC3
chr12:110445552-110450194	N_w	0	0	1	0	0	1	0	1	0	0	0	1	0	0	3	0	0	1	2	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	1	0	1	ENSG00000111229.15	ARPC3
chr12:110445552-110450254	N_w	145	379	348	832	405	390	497	678	457	500	187	983	444	403	644	455	950	378	549	411	882	522	441	449	337	652	225	483	428	478	348	513	457	425	897	552	552	ENSG00000111229.15	ARPC3
chr6:110100680-110101587	N_w	36	6	32	32	11	17	19	21	21	16	1	16	19	13	4	2	25	16	29	34	9	4	14	13	18	15	13	13	0	38	27	12	71	7	36	25	42	ENSG00000112290.12	WASF1
chr6:110102217-110103377	N_w	16	7	25	16	13	10	18	10	10	14	1	18	10	0	1	2	11	5	4	14	6	3	4	12	20	6	4	4	2	18	20	2	29	2	23	9	28	ENSG00000112290.12	WASF1
chr6:110103558-110105406	N_w	17	11	23	27	8	14	30	22	14	13	2	19	16	7	3	5	13	9	15	27	8	5	9	5	19	4	4	12	1	24	27	4	38	0	31	15	35	ENSG00000112290.12	WASF1
chr6:110105577-110107076	N_w	0	0	0	0	0	2	2	0	0	2	0	2	1	0	0	0	0	0	0	0	0	1	0	0	5	0	2	0	0	3	1	0	0	0	0	2	3	ENSG00000112290.12	WASF1
chr6:110105580-110107076	N_w	17	10	14	6	8	14	12	13	6	8	0	10	5	4	0	3	11	6	8	17	5	2	5	5	13	6	3	8	0	7	19	2	21	6	17	3	21	ENSG00000112290.12	WASF1
chr6:110107195-110108527	N_w	21	3	17	15	5	10	13	12	5	10	2	11	11	2	3	1	11	4	3	20	1	0	0	7	14	9	6	9	1	13	20	0	31	6	15	4	31	ENSG00000112290.12	WASF1
chr6:110108682-110113325	N_w	17	3	14	7	7	9	15	7	4	3	0	11	7	1	1	0	5	7	5	14	3	1	3	6	7	2	3	3	0	5	4	1	24	3	4	11	17	ENSG00000112290.12	WASF1
chr6:110113461-110127468	N_w	15	7	3	5	5	6	5	4	4	7	0	7	9	4	0	0	4	6	7	18	4	1	3	4	10	3	2	2	0	3	15	0	17	2	4	3	18	ENSG00000112290.12	WASF1
chr6:110127630-110160634	N_w	1	3	1	1	1	0	4	6	2	3	1	2	1	0	0	0	2	0	1	0	2	0	0	3	1	0	1	0	0	0	2	0	6	1	4	3	3	ENSG00000112290.12	WASF1
chr6:110127630-110178597	N_w	2	2	2	0	0	3	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	2	0	3	ENSG00000112290.12	WASF1
chr6:110127630-110179438	N_w	2	3	5	8	0	0	5	3	2	0	0	2	4	0	2	0	2	0	0	10	2	0	0	2	3	2	0	0	0	5	3	0	12	3	2	7	19	ENSG00000112290.12	WASF1
chr6:110160733-110178597	N_w	1	0	0	0	0	2	0	1	0	0	0	2	1	1	0	0	2	0	1	5	0	0	2	1	4	1	1	0	0	2	0	0	1	0	1	0	1	ENSG00000112290.12	WASF1
chr6:110160733-110179438	N_w	0	0	3	2	0	0	1	2	0	1	0	0	1	0	0	0	0	0	2	2	0	0	0	1	0	0	0	1	0	2	2	0	0	0	1	0	2	ENSG00000112290.12	WASF1
chr6:110178743-110179438	N_w	1	0	0	0	3	4	2	1	1	3	0	1	2	0	0	0	1	0	0	1	1	0	2	0	3	0	0	3	0	2	2	0	1	0	1	0	4	ENSG00000112290.12	WASF1
chr6:110178743-110179840	N_w	1	1	0	0	2	0	1	1	0	1	0	0	1	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	3	0	0	0	3	ENSG00000112290.12	WASF1
chr2:113890324-113913171	N_w	129	271	296	218	149	279	127	299	132	180	31	263	288	95	206	168	106	163	57	166	238	99	197	214	179	98	48	197	149	284	278	26	247	168	196	69	166	ENSG00000115091.11	ACTR3
chr2:113890324-113916883	N_w	0	0	0	0	0	0	0	2	0	0	0	1	1	0	0	0	0	2	0	0	0	0	1	1	0	0	0	0	0	1	1	0	0	0	0	0	0	ENSG00000115091.11	ACTR3
chr2:113913228-113916883	N_w	151	294	253	243	121	288	135	330	145	254	39	410	305	126	242	201	136	200	86	191	212	95	251	220	185	118	56	182	161	326	333	16	273	291	209	75	210	ENSG00000115091.11	ACTR3
